id,prob_is_fake,y_pred,y_true
i101_14_4_10i,0.46525958,0,1.0
i101_14_4_10_1i,0.5126102,1,1.0
i101_14_4_11i,0.46525958,0,1.0
i101_14_4_12i,0.77620536,1,1.0
i101_14_4_12_1i,0.5126102,1,1.0
i101_14_4_12_2i,0.5126102,1,1.0
i101_14_4_13i,0.46525958,0,1.0
i101_14_4_14i,0.73450637,1,1.0
i101_14_4_15i,0.46525958,0,1.0
i101_14_4_15_1i,0.5126102,1,1.0
i101_14_4_16i,0.73450637,1,1.0
i101_14_4_17i,0.46525958,0,1.0
i101_14_4_17_1i,0.5126102,1,1.0
i101_14_4_1i,0.77620536,1,1.0
i101_14_4_1_1i,0.5126102,1,1.0
i101_14_4_1_2i,0.5126102,1,1.0
i101_14_4_2i,0.46525958,0,1.0
i101_14_4_3i,0.46525958,0,1.0
i101_14_4_4i,0.46525958,0,1.0
i101_14_4_4_1i,0.5126102,1,1.0
i101_14_4_5i,0.46525958,0,1.0
i101_14_4_6i,0.46525958,0,1.0
i101_14_4_6_1i,0.5126102,1,1.0
i101_14_4_7i,0.46525958,0,1.0
i101_14_4_7_1i,0.5126102,1,1.0
i101_14_4_7_2i,0.5126102,1,1.0
i101_14_4_8i,0.46525958,0,1.0
i101_14_4_9i,0.46525958,0,1.0
i101_14_4_9_1i,0.5126102,1,1.0
i106_46_7_1i,0.46525958,0,1.0
i106_46_7_2i,0.46525958,0,1.0
i106_46_7_2_1i,0.5126102,1,1.0
i106_46_7_3i,0.46525958,0,1.0
i106_46_7_3_1i,0.5126102,1,1.0
i106_46_7_4i,0.46525958,0,1.0
i106_46_7_5i,0.46525958,0,1.0
i106_46_7_5_1i,0.5126102,1,1.0
i106_46_7_6i,0.73450637,1,1.0
i106_46_7_7i,0.46525958,0,1.0
i106_46_7_7_1i,0.5126102,1,1.0
i106_46_7_8i,0.73450637,1,1.0
i106_93_4_1i,0.5484626,1,1.0
i106_93_4_1_1i,0.5126102,1,1.0
i106_93_4_1_2i,0.5126102,1,1.0
i106_93_4_1_3i,0.5126102,1,1.0
i106_93_4_1_4i,0.5126102,1,1.0
i106_93_4_1_5i,0.5126102,1,1.0
i106_93_4_1_6i,0.5126102,1,1.0
i106_93_4_2i,0.46525958,0,1.0
i106_93_4_2_1i,0.5126102,1,1.0
i106_93_4_2_2i,0.5126102,1,1.0
i106_93_4_3i,0.46525958,0,1.0
i106_93_4_3_1i,0.5126102,1,1.0
i106_93_4_3_2i,0.5126102,1,1.0
i106_93_4_4i,0.5484626,1,1.0
i106_93_4_4_1i,0.5126102,1,1.0
i106_93_4_4_2i,0.5126102,1,1.0
i106_93_4_4_3i,0.5126102,1,1.0
i106_93_4_4_4i,0.5126102,1,1.0
i106_93_4_4_5i,0.5126102,1,1.0
i106_93_4_4_6i,0.5126102,1,1.0
i107_02_8_1i,0.62755305,1,1.0
i107_02_8_2i,0.46525958,0,1.0
i107_02_8_2_1i,0.5126102,1,1.0
i107_02_8_3i,0.46525958,0,1.0
i107_02_8_3_1i,0.5126102,1,1.0
i107_02_8_4i,0.46525958,0,1.0
i107_02_8_4_1i,0.5126102,1,1.0
i107_02_8_4_2i,0.5126102,1,1.0
i107_30_2_1i,0.62755305,1,1.0
i107_30_2_2i,0.46525958,0,1.0
i107_30_2_2_1i,0.5126102,1,1.0
i107_30_2_2_2i,0.5126102,1,1.0
i107_30_2_3i,0.73450637,1,1.0
i107_30_2_4i,0.46525958,0,1.0
i107_30_2_4_1i,0.5126102,1,1.0
i107_30_2_4_2i,0.5126102,1,1.0
i107_30_2_4_3i,0.5126102,1,1.0
i108_10_1_1i,0.62755305,1,1.0
i108_10_1_2i,0.46525958,0,1.0
i108_10_1_3i,0.46525958,0,1.0
i108_10_1_3_1i,0.5126102,1,1.0
i108_10_1_3_2i,0.5126102,1,1.0
i108_10_1_4i,0.46525958,0,1.0
i108_10_1_4_1i,0.5126102,1,1.0
i108_10_1_5i,0.46525958,0,1.0
i108_10_1_5_1i,0.5126102,1,1.0
i108_10_1_5_2i,0.5126102,1,1.0
i108_10_1_5_3i,0.5126102,1,1.0
i108_10_1_6i,0.46525958,0,1.0
i108_10_1_6_1i,0.5126102,1,1.0
i108_10_1_6_2i,0.5126102,1,1.0
i108_10_1_6_3i,0.5126102,1,1.0
i108_10_1_7i,0.46525958,0,1.0
i108_10_1_7_1i,0.5126102,1,1.0
i108_10_1_7_2i,0.5126102,1,1.0
i108_10_1_7_3i,0.5126102,1,1.0
i1163_19_5_10i,0.5484626,1,1.0
i1163_19_5_10_1i,0.5126102,1,1.0
i1163_19_5_10_2i,0.5126102,1,1.0
i1163_19_5_10_3i,0.5126102,1,1.0
i1163_19_5_10_4i,0.5126102,1,1.0
i1163_19_5_10_5i,0.5126102,1,1.0
i1163_19_5_10_6i,0.5126102,1,1.0
i1163_19_5_11i,0.46525958,0,1.0
i1163_19_5_12i,0.5484626,1,1.0
i1163_19_5_12_1i,0.5126102,1,1.0
i1163_19_5_12_2i,0.5126102,1,1.0
i1163_19_5_12_3i,0.5126102,1,1.0
i1163_19_5_12_4i,0.5126102,1,1.0
i1163_19_5_12_5i,0.5126102,1,1.0
i1163_19_5_12_6i,0.5126102,1,1.0
i1163_19_5_13i,0.46525958,0,1.0
i1163_19_5_14i,0.46525958,0,1.0
i1163_19_5_15i,0.46525958,0,1.0
i1163_19_5_16i,0.46525958,0,1.0
i1163_19_5_17i,0.46525958,0,1.0
i1163_19_5_18i,0.5484626,1,1.0
i1163_19_5_18_1i,0.5126102,1,1.0
i1163_19_5_18_2i,0.5126102,1,1.0
i1163_19_5_18_3i,0.5126102,1,1.0
i1163_19_5_18_4i,0.5126102,1,1.0
i1163_19_5_18_5i,0.5126102,1,1.0
i1163_19_5_18_6i,0.5126102,1,1.0
i1163_19_5_19i,0.5484626,1,1.0
i1163_19_5_19_1i,0.5126102,1,1.0
i1163_19_5_19_2i,0.5126102,1,1.0
i1163_19_5_19_3i,0.5126102,1,1.0
i1163_19_5_19_4i,0.5126102,1,1.0
i1163_19_5_19_5i,0.5126102,1,1.0
i1163_19_5_19_6i,0.5126102,1,1.0
i1163_19_5_1i,0.62755305,1,1.0
i1163_19_5_20i,0.5484626,1,1.0
i1163_19_5_20_1i,0.5126102,1,1.0
i1163_19_5_20_2i,0.5126102,1,1.0
i1163_19_5_20_3i,0.5126102,1,1.0
i1163_19_5_20_4i,0.5126102,1,1.0
i1163_19_5_20_5i,0.5126102,1,1.0
i1163_19_5_20_6i,0.5126102,1,1.0
i1163_19_5_21i,0.5484626,1,1.0
i1163_19_5_21_1i,0.5126102,1,1.0
i1163_19_5_21_2i,0.5126102,1,1.0
i1163_19_5_21_3i,0.5126102,1,1.0
i1163_19_5_21_4i,0.5126102,1,1.0
i1163_19_5_21_5i,0.5126102,1,1.0
i1163_19_5_21_6i,0.5126102,1,1.0
i1163_19_5_22i,0.46525958,0,1.0
i1163_19_5_23i,0.5484626,1,1.0
i1163_19_5_23_1i,0.5126102,1,1.0
i1163_19_5_23_2i,0.5126102,1,1.0
i1163_19_5_23_3i,0.5126102,1,1.0
i1163_19_5_23_4i,0.5126102,1,1.0
i1163_19_5_23_5i,0.5126102,1,1.0
i1163_19_5_23_6i,0.5126102,1,1.0
i1163_19_5_2i,0.46525958,0,1.0
i1163_19_5_3i,0.46525958,0,1.0
