id,prob_is_fake,y_pred,y_true
i100_41_4i,0.81950676,1,1.0
i108_88_3i,0.030295648,0,1.0
i108_90_7i,0.14014852,0,1.0
i120_61_6i,0.9967506,1,1.0
i127_18_4i,0.9761873,1,1.0
i18883_66_4i,0.9986908,1,1.0
i206_44_0i,0.7722622,1,1.0
i298_04_4i,0.8419472,1,1.0
i319_84_6i,0.7900908,1,1.0
i51_75_2i,0.99893314,1,1.0
i52_68_6i,0.087682545,0,1.0
i541_41_3i,0.9976955,1,1.0
i60_09_3i,0.99668795,1,1.0
i60_34_4i,0.061671007,0,1.0
i62_75_9i,0.81663185,1,1.0
i630_20_6i,0.9984124,1,1.0
i684_93_5i,0.9965412,1,1.0
i70_30_4i,0.9553326,1,1.0
i75_09_2i,0.99759007,1,1.0
i75_71_8i,0.9992324,1,1.0
i765_34_4i,0.99656147,1,1.0
i80_62_6i,0.99764246,1,1.0
i82_28_0i,0.96250814,1,1.0
i842_07_9i,0.9554553,1,1.0
i87_62_7i,0.9986419,1,1.0
i87_68_3i,0.9930727,1,1.0
i90_94_8i,0.99365646,1,1.0
i92_87_5i,0.14085786,0,1.0
i930_55_2i,0.997767,1,1.0
i94_74_6i,0.11945206,0,1.0
i95_95_4i,0.0487656,0,1.0
i96_09_3i,0.9906337,1,1.0
i96_18_4i,0.64925414,1,1.0
a,0.7549956,1,0.0
b,0.0028041664,0,0.0
c,0.050281778,0,0.0
d,0.037316307,0,0.0
e,0.04483037,0,0.0
f,0.6047289,1,0.0
g,0.17820325,0,0.0
h,0.022699883,0,0.0
i,0.007809032,0,0.0
j,0.07546782,0,0.0
k,0.059118453,0,0.0
l,0.025472103,0,0.0
m,0.031781394,0,0.0
n,0.0015604411,0,0.0
o,0.0034545134,0,0.0
p,0.9450381,1,0.0
q,0.08449832,0,0.0
r,0.017165048,0,0.0
s,0.35075453,0,0.0
t,0.06363748,0,0.0
u,0.86078227,1,0.0
v,0.41019046,0,0.0
w,0.027182734,0,0.0
x,0.02149358,0,0.0
y,0.012331518,0,0.0
z,0.97343475,1,0.0
A,0.08919222,0,0.0
B,0.46249497,0,0.0
C,0.15699703,0,0.0
D,0.014259873,0,0.0
E,0.002613505,0,0.0
F,0.67451274,1,0.0
G,0.089720465,0,0.0
