id,prob_is_fake,y_pred,y_true
i106_88_7_1i,0.4808028,0,1.0
i106_88_7_2i,0.4989103,0,1.0
i106_88_7_2_1i,0.51597613,1,1.0
i106_88_7_3i,0.4989103,0,1.0
i106_88_7_3_1i,0.51597613,1,1.0
i106_88_7_3_2i,0.51597613,1,1.0
i106_88_7_4i,0.4989103,0,1.0
i106_88_7_4_1i,0.51597613,1,1.0
i106_88_7_4_2i,0.51597613,1,1.0
i106_88_7_4_3i,0.51597613,1,1.0
i106_88_7_5i,0.4989103,0,1.0
i106_88_7_5_1i,0.51597613,1,1.0
i106_88_7_5_2i,0.51597613,1,1.0
i106_89_8_1i,0.4808028,0,1.0
i106_89_8_2i,0.4989103,0,1.0
i106_89_8_2_1i,0.51597613,1,1.0
i106_89_8_3i,0.4989103,0,1.0
i106_89_8_3_1i,0.51597613,1,1.0
i106_89_8_3_2i,0.51597613,1,1.0
i106_89_8_4i,0.49894804,0,1.0
i106_89_8_5i,0.4989103,0,1.0
i106_89_8_5_1i,0.51597613,1,1.0
i106_89_8_5_2i,0.51597613,1,1.0
i111_76_2_1i,0.4808028,0,1.0
i111_76_2_2i,0.4989103,0,1.0
i111_76_2_2_1i,0.51597613,1,1.0
i111_76_2_2_2i,0.51597613,1,1.0
i111_76_2_3i,0.4989103,0,1.0
i111_76_2_3_1i,0.51597613,1,1.0
i111_76_2_3_2i,0.51597613,1,1.0
i111_76_2_4i,0.4989103,0,1.0
i111_76_2_4_1i,0.51597613,1,1.0
i111_76_2_4_2i,0.51597613,1,1.0
i111_76_2_5i,0.4989103,0,1.0
i111_76_2_5_1i,0.51597613,1,1.0
i111_76_2_5_2i,0.51597613,1,1.0
i111_76_2_5_3i,0.51597613,1,1.0
i111_76_2_6i,0.4989103,0,1.0
i111_76_2_6_1i,0.51597613,1,1.0
i111_76_2_6_2i,0.51597613,1,1.0
i111_76_2_7i,0.4989103,0,1.0
i111_76_2_7_1i,0.51597613,1,1.0
i111_76_2_7_2i,0.51597613,1,1.0
i111_76_2_8i,0.4808028,0,1.0
i111_76_2_8_1i,0.51597613,1,1.0
i1120_71_4_1i,0.4808028,0,1.0
i1120_71_4_2i,0.37434638,0,1.0
i1120_71_4_3i,0.4808028,0,1.0
i1120_71_4_4i,0.4808028,0,1.0
i1120_71_4_5i,0.4989103,0,1.0
i1120_71_4_5_1i,0.51597613,1,1.0
i1120_71_4_5_2i,0.51597613,1,1.0
i1120_71_4_6i,0.4989103,0,1.0
i1120_71_4_6_1i,0.51597613,1,1.0
i1120_71_4_6_2i,0.51597613,1,1.0
i1120_71_4_7i,0.4989103,0,1.0
i1120_71_4_7_1i,0.51597613,1,1.0
i1120_71_4_7_2i,0.51597613,1,1.0
i115_29_7_10i,0.37434638,0,1.0
i115_29_7_11i,0.4808028,0,1.0
i115_29_7_12i,0.4808028,0,1.0
i115_29_7_13i,0.4989103,0,1.0
i115_29_7_13_1i,0.51597613,1,1.0
i115_29_7_13_2i,0.51597613,1,1.0
i115_29_7_14i,0.4989103,0,1.0
i115_29_7_14_1i,0.51597613,1,1.0
i115_29_7_15i,0.4989103,0,1.0
i115_29_7_16i,0.49894804,0,1.0
i115_29_7_17i,0.4989103,0,1.0
i115_29_7_18i,0.49894804,0,1.0
i115_29_7_19i,0.49894804,0,1.0
i115_29_7_1i,0.49894804,0,1.0
i115_29_7_2i,0.4989103,0,1.0
i115_29_7_3i,0.4989103,0,1.0
i115_29_7_4i,0.49894804,0,1.0
i115_29_7_5i,0.4989103,0,1.0
i115_29_7_6i,0.49894804,0,1.0
i115_29_7_7i,0.4989103,0,1.0
i115_29_7_7_1i,0.51597613,1,1.0
i115_29_7_8i,0.4989103,0,1.0
i115_29_7_8_1i,0.51597613,1,1.0
i115_29_7_8_2i,0.51597613,1,1.0
i115_29_7_9i,0.4808028,0,1.0
i117_79_3_10i,0.4989103,0,1.0
i117_79_3_10_1i,0.51597613,1,1.0
i117_79_3_11i,0.4989103,0,1.0
i117_79_3_11_1i,0.51597613,1,1.0
i117_79_3_12i,0.4989103,0,1.0
i117_79_3_12_1i,0.51597613,1,1.0
