id,prob_is_fake,y_pred,y_true
i100_02_7i,0.3566147,0,1.0
i1024_57_3i,0.90151024,1,1.0
i107_06_2i,0.06763487,0,1.0
i108_78_1i,0.9890781,1,1.0
i110_00_9i,0.9957716,1,1.0
i111_44_4i,0.996971,1,1.0
i118_74_1i,0.96465635,1,1.0
i131_11_3i,0.9945263,1,1.0
i139_13_9i,0.94604665,1,1.0
i141_32_2i,0.99901474,1,1.0
i143_50_0i,0.08094611,0,1.0
i151_56_4i,0.9987883,1,1.0
i2303_16_4i,0.977629,1,1.0
i505_60_2i,0.995815,1,1.0
i50_29_3i,0.63143826,1,1.0
i53_70_3i,0.9899677,1,1.0
i57_97_6i,0.009091062,0,1.0
i606_20_2i,0.9980507,1,1.0
i62_44_2i,0.9989673,1,1.0
i64_18_6i,0.97641164,1,1.0
i71_43_2i,0.516979,1,1.0
i75_99_0i,0.7561312,1,1.0
i78_59_1i,0.9878976,1,1.0
i78_79_5i,0.9771288,1,1.0
i79_21_0i,0.98962677,1,1.0
i85_01_8i,0.73856175,1,1.0
i88_75_5i,0.9964819,1,1.0
i88_85_7i,0.22518902,0,1.0
i88_89_1i,0.9965731,1,1.0
i92_67_1i,0.9945991,1,1.0
i93_65_2i,0.24425648,0,1.0
i98_82_8i,0.13706385,0,1.0
i98_95_3i,0.46093512,0,1.0
a,0.017258469,0,0.0
b,0.0027006213,0,0.0
c,0.4651466,0,0.0
d,0.34164342,0,0.0
e,0.015740145,0,0.0
f,0.7002044,1,0.0
g,0.86974376,1,0.0
h,0.20548753,0,0.0
i,0.7716022,1,0.0
j,0.021153357,0,0.0
k,0.0013437279,0,0.0
l,0.9890026,1,0.0
m,0.10536922,0,0.0
n,0.007900591,0,0.0
o,0.17851217,0,0.0
p,0.026313256,0,0.0
q,0.6696088,1,0.0
r,0.27326608,0,0.0
s,0.5478316,1,0.0
t,0.0032983879,0,0.0
u,0.14892922,0,0.0
v,0.023853559,0,0.0
w,0.3933883,0,0.0
x,0.30242503,0,0.0
y,0.26773006,0,0.0
z,0.008852533,0,0.0
A,0.18746138,0,0.0
B,0.027203867,0,0.0
C,0.19364597,0,0.0
D,0.009647437,0,0.0
E,0.028650606,0,0.0
F,0.009160767,0,0.0
G,0.11755423,0,0.0
