id,prob_is_fake,y_pred,y_true
d101_1,0.57035816,1,1.0
d101_10,0.71705174,1,1.0
d101_11,0.723749,1,1.0
d101_12,0.45518896,0,1.0
d101_13,0.45518896,0,1.0
d101_14,0.57035816,1,1.0
d101_15,0.57035816,1,1.0
d101_16,0.7696536,1,1.0
d101_17,0.93414164,1,1.0
d101_18,0.93414164,1,1.0
d101_19,0.93414164,1,1.0
d101_2,0.57035816,1,1.0
d101_20,0.93414164,1,1.0
d101_21,0.8079667,1,1.0
d101_22,0.63888997,1,1.0
d101_23,0.63888997,1,1.0
d101_24,0.6170618,1,1.0
d101_25,0.6170618,1,1.0
d101_26,0.6170618,1,1.0
d101_27,0.6170618,1,1.0
d101_28,0.6170618,1,1.0
d101_29,0.6170618,1,1.0
d101_3,0.723749,1,1.0
d101_30,0.6170618,1,1.0
d101_31,0.9196895,1,1.0
d101_32,0.9196895,1,1.0
d101_33,0.9196895,1,1.0
d101_34,0.9196895,1,1.0
d101_35,0.9196895,1,1.0
d101_36,0.9196895,1,1.0
d101_37,0.9196895,1,1.0
d101_38,0.9196895,1,1.0
d101_4,0.71705174,1,1.0
d101_5,0.723749,1,1.0
d101_6,0.7696536,1,1.0
d101_7,0.57035816,1,1.0
d101_8,0.57035816,1,1.0
d101_9,0.723749,1,1.0
d129_1,0.7696536,1,1.0
d129_10,0.911276,1,1.0
d129_11,0.044775397,0,1.0
d129_12,0.9876907,1,1.0
d129_13,0.9712064,1,1.0
d129_14,0.9712064,1,1.0
d129_15,0.8079667,1,1.0
d129_16,0.8079667,1,1.0
d129_17,0.63888997,1,1.0
d129_18,0.63888997,1,1.0
d129_19,0.63888997,1,1.0
d129_2,0.7696536,1,1.0
d129_20,0.63888997,1,1.0
d129_3,0.7696536,1,1.0
d129_4,0.7696536,1,1.0
d129_5,0.733838,1,1.0
d129_6,0.7696536,1,1.0
d129_7,0.6170618,1,1.0
d129_8,0.6170618,1,1.0
d129_9,0.6170618,1,1.0
d138_1,0.7696536,1,1.0
d138_10,0.9471627,1,1.0
d138_11,0.8079667,1,1.0
d138_12,0.61930144,1,1.0
d138_13,0.61930144,1,1.0
d138_14,0.54792637,1,1.0
d138_15,0.7903281,1,1.0
d138_16,0.6170618,1,1.0
d138_17,0.6170618,1,1.0
d138_18,0.9196895,1,1.0
d138_19,0.9196895,1,1.0
d138_2,0.7696536,1,1.0
d138_20,0.9196895,1,1.0
d138_21,0.97172046,1,1.0
d138_3,0.8150794,1,1.0
d138_4,0.8579932,1,1.0
d138_5,0.7696536,1,1.0
d138_6,0.7696536,1,1.0
d138_7,0.7951691,1,1.0
d138_8,0.9187449,1,1.0
d138_9,0.9683311,1,1.0
d141_1,0.8891157,1,1.0
d141_10,0.42126822,0,1.0
d141_11,0.9276827,1,1.0
d141_12,0.9276827,1,1.0
d141_13,0.39771485,0,1.0
d141_14,0.39771485,0,1.0
d141_2,0.8891157,1,1.0
d141_3,0.8891157,1,1.0
d141_4,0.8891157,1,1.0
d141_5,0.8891157,1,1.0
d141_6,0.8891157,1,1.0
d141_7,0.67968655,1,1.0
d141_8,0.67968655,1,1.0
d141_9,0.67968655,1,1.0
d143_1,0.26793987,0,1.0
d143_10,0.066255905,0,1.0
d143_11,0.9760191,1,1.0
d143_12,0.7978708,1,1.0
d143_13,0.26793987,0,1.0
d143_14,0.26793987,0,1.0
d143_15,0.26793987,0,1.0
d143_16,0.26793987,0,1.0
d143_17,0.26793987,0,1.0
d143_18,0.066255905,0,1.0
d143_19,0.066255905,0,1.0
d143_2,0.26793987,0,1.0
d143_20,0.066255905,0,1.0
d143_21,0.066255905,0,1.0
d143_22,0.066255905,0,1.0
d143_23,0.4348537,0,1.0
d143_24,0.2735472,0,1.0
d143_25,0.2735472,0,1.0
d143_3,0.26793987,0,1.0
d143_4,0.26793987,0,1.0
d143_5,0.7978708,1,1.0
d143_6,0.26793987,0,1.0
d143_7,0.066255905,0,1.0
d143_8,0.066255905,0,1.0
d143_9,0.066255905,0,1.0
d147_1,0.8891157,1,1.0
d147_10,0.5897972,1,1.0
d147_11,0.17305665,0,1.0
d147_12,0.39771485,0,1.0
d147_13,0.39771485,0,1.0
d147_14,0.5400685,1,1.0
d147_15,0.5400685,1,1.0
d147_16,0.5400685,1,1.0
d147_17,0.7903281,1,1.0
d147_18,0.7903281,1,1.0
d147_19,0.7903281,1,1.0
d147_2,0.8891157,1,1.0
d147_3,0.7037528,1,1.0
d147_4,0.7037528,1,1.0
d147_5,0.8891157,1,1.0
d147_6,0.8891157,1,1.0
d147_7,0.29200482,0,1.0
d147_8,0.9558663,1,1.0
d147_9,0.29200482,0,1.0
d154_1,0.63949656,1,1.0
d154_10,0.12179544,0,1.0
d154_11,0.2680747,0,1.0
d154_12,0.2680747,0,1.0
d154_13,0.29794022,0,1.0
d154_14,0.29794022,0,1.0
d154_15,0.29794022,0,1.0
d154_16,0.29794022,0,1.0
d154_17,0.98659605,1,1.0
d154_2,0.63949656,1,1.0
d154_3,0.3302106,0,1.0
d154_4,0.8498575,1,1.0
d154_5,0.63949656,1,1.0
d154_6,0.63949656,1,1.0
d154_7,0.93523914,1,1.0
d154_8,0.24292645,0,1.0
d154_9,0.93523914,1,1.0
d155_1,0.6213696,1,1.0
d155_10,0.9760191,1,1.0
d155_11,0.9471627,1,1.0
d155_12,0.83669144,1,1.0
d155_13,0.83669144,1,1.0
d155_14,0.83669144,1,1.0
d155_15,0.5718683,1,1.0
d155_16,0.5718683,1,1.0
d155_17,0.62163156,1,1.0
d155_18,0.62163156,1,1.0
d155_19,0.5933225,1,1.0
d155_2,0.6213696,1,1.0
d155_20,0.5933225,1,1.0
d155_3,0.6213696,1,1.0
d155_4,0.6213696,1,1.0
d155_5,0.7978708,1,1.0
d155_6,0.6213696,1,1.0
d155_7,0.30101982,0,1.0
d155_8,0.30101982,0,1.0
d155_9,0.30101982,0,1.0
d165_1,0.7696536,1,1.0
d165_10,0.7696536,1,1.0
d165_11,0.7696536,1,1.0
d165_12,0.7696536,1,1.0
d165_13,0.92022055,1,1.0
d165_14,0.55914545,1,1.0
d165_15,0.6170618,1,1.0
d165_16,0.6170618,1,1.0
d165_17,0.78472364,1,1.0
d165_18,0.78472364,1,1.0
d165_19,0.7696536,1,1.0
d165_2,0.7696536,1,1.0
d165_20,0.7696536,1,1.0
d165_21,0.7696536,1,1.0
d165_22,0.7696536,1,1.0
d165_23,0.55914545,1,1.0
d165_24,0.6170618,1,1.0
d165_25,0.6170618,1,1.0
d165_26,0.82198125,1,1.0
d165_27,0.63888997,1,1.0
d165_28,0.63888997,1,1.0
d165_3,0.723749,1,1.0
d165_4,0.71705174,1,1.0
d165_5,0.78472364,1,1.0
d165_6,0.7696536,1,1.0
d165_7,0.55914545,1,1.0
d165_8,0.6170618,1,1.0
d165_9,0.6170618,1,1.0
d184_1,0.8151601,1,1.0
d184_10,0.8151601,1,1.0
d184_11,0.8151601,1,1.0
d184_12,0.8151601,1,1.0
d184_13,0.95685524,1,1.0
d184_14,0.7347622,1,1.0
d184_15,0.7347622,1,1.0
d184_16,0.7627776,1,1.0
d184_17,0.7627776,1,1.0
d184_18,0.8151601,1,1.0
d184_19,0.8151601,1,1.0
d184_2,0.8151601,1,1.0
d184_20,0.8151601,1,1.0
d184_21,0.8151601,1,1.0
d184_22,0.7347622,1,1.0
d184_23,0.7347622,1,1.0
d184_24,0.7347622,1,1.0
d184_25,0.9323139,1,1.0
d184_26,0.9323139,1,1.0
d184_27,0.874154,1,1.0
d184_28,0.874154,1,1.0
d184_29,0.874154,1,1.0
d184_3,0.8812484,1,1.0
d184_30,0.874154,1,1.0
d184_4,0.9010864,1,1.0
d184_5,0.7627776,1,1.0
d184_6,0.8151601,1,1.0
d184_7,0.7347622,1,1.0
d184_8,0.7347622,1,1.0
d184_9,0.7347622,1,1.0
d24_1,0.5371229,1,1.0
d24_10,0.5371229,1,1.0
d24_11,0.7003204,1,1.0
d24_12,0.91962624,1,1.0
d24_13,0.54853547,1,1.0
d24_14,0.54853547,1,1.0
d24_15,0.5371229,1,1.0
d24_16,0.5371229,1,1.0
d24_17,0.7003204,1,1.0
d24_18,0.91962624,1,1.0
d24_19,0.54853547,1,1.0
d24_2,0.5371229,1,1.0
d24_20,0.54853547,1,1.0
d24_21,0.5371229,1,1.0
d24_22,0.5371229,1,1.0
d24_23,0.7003204,1,1.0
d24_24,0.91962624,1,1.0
d24_25,0.54853547,1,1.0
d24_26,0.5371229,1,1.0
d24_27,0.5371229,1,1.0
d24_28,0.7003204,1,1.0
d24_29,0.91962624,1,1.0
d24_3,0.7003204,1,1.0
d24_30,0.2611722,0,1.0
d24_31,0.2611722,0,1.0
d24_32,0.5371229,1,1.0
d24_33,0.5371229,1,1.0
d24_34,0.2611722,0,1.0
d24_35,0.54853547,1,1.0
d24_36,0.9210982,1,1.0
d24_37,0.5032501,1,1.0
d24_38,0.5032501,1,1.0
d24_4,0.91962624,1,1.0
d24_5,0.91962624,1,1.0
d24_6,0.7003204,1,1.0
d24_7,0.2611722,0,1.0
d24_8,0.2611722,0,1.0
d24_9,0.5371229,1,1.0
d55_1,0.5817241,1,1.0
d55_10,0.54792637,1,1.0
d55_11,0.5817241,1,1.0
d55_12,0.5817241,1,1.0
d55_13,0.5817241,1,1.0
d55_14,0.8675881,1,1.0
d55_15,0.54792637,1,1.0
d55_16,0.54792637,1,1.0
d55_17,0.8641423,1,1.0
d55_18,0.9196895,1,1.0
d55_19,0.9196895,1,1.0
d55_2,0.5817241,1,1.0
d55_20,0.9196895,1,1.0
d55_21,0.87254125,1,1.0
d55_22,0.61930144,1,1.0
d55_23,0.61930144,1,1.0
d55_3,0.723749,1,1.0
d55_4,0.723749,1,1.0
d55_5,0.5817241,1,1.0
d55_6,0.5817241,1,1.0
d55_7,0.54792637,1,1.0
d55_8,0.54792637,1,1.0
d55_9,0.54792637,1,1.0
d57_1,0.64689976,1,1.0
d57_10,0.6024519,1,1.0
d57_11,0.9035519,1,1.0
d57_12,0.64689976,1,1.0
d57_13,0.64689976,1,1.0
d57_14,0.64689976,1,1.0
d57_15,0.64689976,1,1.0
d57_16,0.64689976,1,1.0
d57_17,0.6024519,1,1.0
d57_18,0.6024519,1,1.0
d57_19,0.6024519,1,1.0
d57_2,0.64689976,1,1.0
d57_20,0.93812925,1,1.0
d57_21,0.93812925,1,1.0
d57_22,0.93812925,1,1.0
d57_23,0.84650475,1,1.0
d57_24,0.84650475,1,1.0
d57_25,0.84650475,1,1.0
d57_26,0.84650475,1,1.0
d57_27,0.84650475,1,1.0
d57_28,0.84650475,1,1.0
d57_3,0.64689976,1,1.0
d57_4,0.9035519,1,1.0
d57_5,0.64689976,1,1.0
d57_6,0.64689976,1,1.0
d57_7,0.6024519,1,1.0
d57_8,0.6024519,1,1.0
d57_9,0.6024519,1,1.0
d59_1,0.77134156,1,1.0
d59_10,0.94479555,1,1.0
d59_11,0.77134156,1,1.0
d59_12,0.88350296,1,1.0
d59_13,0.94479555,1,1.0
d59_14,0.94479555,1,1.0
d59_15,0.77134156,1,1.0
d59_16,0.77134156,1,1.0
d59_17,0.77134156,1,1.0
d59_18,0.94479555,1,1.0
d59_19,0.95939696,1,1.0
d59_2,0.88350296,1,1.0
d59_20,0.66034675,1,1.0
d59_21,0.6024519,1,1.0
d59_22,0.6024519,1,1.0
d59_23,0.6024519,1,1.0
d59_24,0.7110218,1,1.0
d59_25,0.7110218,1,1.0
d59_26,0.7110218,1,1.0
d59_27,0.7110218,1,1.0
d59_28,0.6024519,1,1.0
d59_29,0.6024519,1,1.0
d59_3,0.94479555,1,1.0
d59_30,0.6024519,1,1.0
d59_31,0.6024519,1,1.0
d59_32,0.93812925,1,1.0
d59_33,0.84650475,1,1.0
d59_34,0.84650475,1,1.0
d59_4,0.77134156,1,1.0
d59_5,0.77134156,1,1.0
d59_6,0.77134156,1,1.0
d59_7,0.77134156,1,1.0
d59_8,0.77134156,1,1.0
d59_9,0.88350296,1,1.0
d62_1,0.45219895,0,1.0
d62_10,0.8238597,1,1.0
d62_11,0.8157343,1,1.0
d62_12,0.95792407,1,1.0
d62_13,0.5718683,1,1.0
d62_14,0.62163156,1,1.0
d62_15,0.62163156,1,1.0
d62_16,0.98935527,1,1.0
d62_17,0.98935527,1,1.0
d62_2,0.45219895,0,1.0
d62_3,0.45219895,0,1.0
d62_4,0.733838,1,1.0
d62_5,0.67656684,1,1.0
d62_6,0.45219895,0,1.0
d62_7,0.30101982,0,1.0
d62_8,0.30101982,0,1.0
d62_9,0.30101982,0,1.0
d82_1,0.77134156,1,1.0
d82_10,0.77134156,1,1.0
d82_11,0.77134156,1,1.0
d82_12,0.95050824,1,1.0
d82_13,0.7110218,1,1.0
d82_14,0.6285061,1,1.0
d82_15,0.6285061,1,1.0
d82_16,0.77134156,1,1.0
d82_17,0.77134156,1,1.0
d82_18,0.77134156,1,1.0
d82_19,0.77134156,1,1.0
d82_2,0.77134156,1,1.0
d82_20,0.7110218,1,1.0
d82_21,0.7110218,1,1.0
d82_22,0.7110218,1,1.0
d82_23,0.7110218,1,1.0
d82_24,0.9821162,1,1.0
d82_25,0.9821162,1,1.0
d82_26,0.9821162,1,1.0
d82_27,0.8348327,1,1.0
d82_28,0.8348327,1,1.0
d82_29,0.8348327,1,1.0
d82_3,0.88350296,1,1.0
d82_30,0.8348327,1,1.0
d82_31,0.8348327,1,1.0
d82_32,0.8348327,1,1.0
d82_4,0.94479555,1,1.0
d82_5,0.6285061,1,1.0
d82_6,0.77134156,1,1.0
d82_7,0.7110218,1,1.0
d82_8,0.7110218,1,1.0
d82_9,0.77134156,1,1.0
d87_1,0.04931627,0,1.0
d87_10,0.04931627,0,1.0
d87_11,0.04931627,0,1.0
d87_12,0.83538365,1,1.0
d87_13,0.6572832,1,1.0
d87_14,0.26349634,0,1.0
d87_15,0.06926497,0,1.0
d87_16,0.06926497,0,1.0
d87_17,0.13063829,0,1.0
d87_18,0.13063829,0,1.0
d87_19,0.13063829,0,1.0
d87_2,0.04931627,0,1.0
d87_20,0.13063829,0,1.0
