id,prob_is_fake,y_pred,y_true
d11,0.9739972,1,1.0
d122,0.512007,1,1.0
d125,0.10696675,0,1.0
d127,0.99463683,1,1.0
d130,0.9094474,1,1.0
d133,0.42100662,0,1.0
d136,0.98709804,1,1.0
d15,0.98709804,1,1.0
d160,0.27026972,0,1.0
d167,0.9032754,1,1.0
d183,0.9032754,1,1.0
d187,0.05695852,0,1.0
d188,0.006207113,0,1.0
d2,0.06863878,0,1.0
d23,0.8721635,1,1.0
d42,0.9786699,1,1.0
d43,0.98288584,1,1.0
d44,0.9663145,1,1.0
d73,0.117786296,0,1.0
a,0.22390546,0,0.0
b,0.9804559,1,0.0
c,0.6622792,1,0.0
d,0.20128262,0,0.0
e,0.6263074,1,0.0
f,0.24667135,0,0.0
g,0.88550895,1,0.0
h,0.45128527,0,0.0
i,0.058102414,0,0.0
j,0.058517244,0,0.0
k,0.083194,0,0.0
l,0.88595486,1,0.0
m,0.46258,0,0.0
n,0.17428607,0,0.0
o,0.9262854,1,0.0
p,0.13853467,0,0.0
q,0.6119358,1,0.0
r,0.9228813,1,0.0
s,0.5132017,1,0.0
