id,prob_is_fake,y_pred,y_true
d102_1,0.99920493,1,1.0
d102_10,0.99920493,1,1.0
d102_11,0.99920493,1,1.0
d102_12,0.99920493,1,1.0
d102_13,0.99920493,1,1.0
d102_14,0.99208826,1,1.0
d102_15,0.99904805,1,1.0
d102_16,0.99904805,1,1.0
d102_17,0.8990396,1,1.0
d102_18,0.9864677,1,1.0
d102_19,0.9981571,1,1.0
d102_2,0.99920493,1,1.0
d102_20,0.9981571,1,1.0
d102_21,0.9981571,1,1.0
d102_22,0.9981571,1,1.0
d102_23,0.9994199,1,1.0
d102_24,0.9994199,1,1.0
d102_25,0.9994199,1,1.0
d102_26,0.9994199,1,1.0
d102_27,0.9994199,1,1.0
d102_28,0.9994199,1,1.0
d102_29,0.9994199,1,1.0
d102_3,0.8869383,1,1.0
d102_30,0.9994199,1,1.0
d102_4,0.99208826,1,1.0
d102_5,0.99920493,1,1.0
d102_6,0.99920493,1,1.0
d102_7,0.99904805,1,1.0
d102_8,0.99904805,1,1.0
d102_9,0.8869383,1,1.0
d104_1,0.99920493,1,1.0
d104_10,0.9931386,1,1.0
d104_11,0.9614114,1,1.0
d104_12,0.97160274,1,1.0
d104_13,0.97160274,1,1.0
d104_14,0.99920493,1,1.0
d104_15,0.99920493,1,1.0
d104_16,0.99920493,1,1.0
d104_17,0.9593255,1,1.0
d104_18,0.9593255,1,1.0
d104_19,0.9593255,1,1.0
d104_2,0.99920493,1,1.0
d104_20,0.9593255,1,1.0
d104_21,0.9981571,1,1.0
d104_22,0.9994199,1,1.0
d104_23,0.9994199,1,1.0
d104_24,0.99904805,1,1.0
d104_25,0.99904805,1,1.0
d104_26,0.99904805,1,1.0
d104_27,0.99904805,1,1.0
d104_28,0.99904805,1,1.0
d104_29,0.99904805,1,1.0
d104_3,0.9614114,1,1.0
d104_30,0.99904805,1,1.0
d104_31,0.9948367,1,1.0
d104_32,0.9948367,1,1.0
d104_33,0.9948367,1,1.0
d104_34,0.9948367,1,1.0
d104_35,0.9948367,1,1.0
d104_36,0.9948367,1,1.0
d104_37,0.9948367,1,1.0
d104_38,0.9948367,1,1.0
d104_4,0.9931386,1,1.0
d104_5,0.9614114,1,1.0
d104_6,0.99920493,1,1.0
d104_7,0.99920493,1,1.0
d104_8,0.99920493,1,1.0
d104_9,0.9614114,1,1.0
d108_1,0.99920493,1,1.0
d108_10,0.99920493,1,1.0
d108_11,0.99920493,1,1.0
d108_12,0.96502244,1,1.0
d108_13,0.99904805,1,1.0
d108_14,0.9654838,1,1.0
d108_15,0.9654838,1,1.0
d108_16,0.99920493,1,1.0
d108_17,0.99920493,1,1.0
d108_18,0.99920493,1,1.0
d108_19,0.99920493,1,1.0
d108_2,0.99920493,1,1.0
d108_20,0.99904805,1,1.0
d108_21,0.99904805,1,1.0
d108_22,0.99904805,1,1.0
d108_23,0.99904805,1,1.0
d108_24,0.9981571,1,1.0
d108_25,0.9994199,1,1.0
d108_26,0.9994199,1,1.0
d108_27,0.99904805,1,1.0
d108_28,0.99904805,1,1.0
d108_3,0.97552174,1,1.0
d108_4,0.9931386,1,1.0
d108_5,0.9654838,1,1.0
d108_6,0.99920493,1,1.0
d108_7,0.99904805,1,1.0
d108_8,0.99904805,1,1.0
d108_9,0.99920493,1,1.0
d123_1,0.99920493,1,1.0
d123_10,0.99904805,1,1.0
d123_11,0.9599527,1,1.0
d123_12,0.99920493,1,1.0
d123_13,0.99920493,1,1.0
d123_14,0.99920493,1,1.0
d123_15,0.89737207,1,1.0
d123_16,0.99920493,1,1.0
d123_17,0.99904805,1,1.0
d123_18,0.99904805,1,1.0
d123_19,0.9712613,1,1.0
d123_2,0.99920493,1,1.0
d123_20,0.99536335,1,1.0
d123_21,0.99536335,1,1.0
d123_22,0.99536335,1,1.0
d123_23,0.99904805,1,1.0
d123_24,0.9712613,1,1.0
d123_25,0.99536335,1,1.0
d123_26,0.99536335,1,1.0
d123_27,0.99536335,1,1.0
d123_28,0.9981571,1,1.0
d123_29,0.9994199,1,1.0
d123_3,0.99920493,1,1.0
d123_30,0.9994199,1,1.0
d123_4,0.9599527,1,1.0
d123_5,0.89737207,1,1.0
d123_6,0.99920493,1,1.0
d123_7,0.99904805,1,1.0
d123_8,0.99904805,1,1.0
d123_9,0.99904805,1,1.0
d128_1,0.9987006,1,1.0
d128_10,0.98530585,1,1.0
d128_11,0.80812716,1,1.0
d128_12,0.80812716,1,1.0
d128_13,0.9988318,1,1.0
d128_14,0.9988318,1,1.0
d128_15,0.9988318,1,1.0
d128_16,0.9988318,1,1.0
d128_17,0.9988318,1,1.0
d128_18,0.998804,1,1.0
d128_19,0.998804,1,1.0
d128_2,0.9987006,1,1.0
d128_20,0.9981571,1,1.0
d128_21,0.9986584,1,1.0
d128_22,0.9986584,1,1.0
d128_3,0.9863028,1,1.0
d128_4,0.9935408,1,1.0
d128_5,0.98530585,1,1.0
d128_6,0.9987006,1,1.0
d128_7,0.9987006,1,1.0
d128_8,0.9987006,1,1.0
d128_9,0.9987006,1,1.0
d162_1,0.99914086,1,1.0
d162_10,0.99152654,1,1.0
d162_11,0.99914086,1,1.0
d162_12,0.99914086,1,1.0
d162_13,0.99914086,1,1.0
d162_14,0.99914086,1,1.0
d162_15,0.99914086,1,1.0
d162_16,0.9988318,1,1.0
d162_17,0.9988318,1,1.0
d162_18,0.9988318,1,1.0
d162_19,0.9981571,1,1.0
d162_2,0.99914086,1,1.0
d162_20,0.9981571,1,1.0
d162_21,0.9981571,1,1.0
d162_22,0.9981571,1,1.0
d162_23,0.9988697,1,1.0
d162_24,0.9988697,1,1.0
d162_25,0.9988697,1,1.0
d162_26,0.9994199,1,1.0
d162_27,0.9994199,1,1.0
d162_28,0.9988697,1,1.0
d162_29,0.9988697,1,1.0
d162_3,0.99914086,1,1.0
d162_30,0.9988697,1,1.0
d162_4,0.99152654,1,1.0
d162_5,0.99914086,1,1.0
d162_6,0.99914086,1,1.0
d162_7,0.9988318,1,1.0
d162_8,0.9988318,1,1.0
d162_9,0.9988318,1,1.0
d1_1,0.99920493,1,1.0
d1_10,0.99904805,1,1.0
d1_11,0.9944765,1,1.0
d1_12,0.99525094,1,1.0
d1_13,0.99920493,1,1.0
d1_14,0.99920493,1,1.0
d1_15,0.99904805,1,1.0
d1_16,0.99904805,1,1.0
d1_17,0.99920493,1,1.0
d1_18,0.99920493,1,1.0
d1_19,0.99920493,1,1.0
d1_2,0.99920493,1,1.0
d1_20,0.99920493,1,1.0
d1_21,0.99904805,1,1.0
d1_22,0.99904805,1,1.0
d1_23,0.99904805,1,1.0
d1_24,0.9981571,1,1.0
d1_25,0.9994199,1,1.0
d1_26,0.9994199,1,1.0
d1_3,0.99920493,1,1.0
d1_4,0.9971945,1,1.0
d1_5,0.9929518,1,1.0
d1_6,0.99920493,1,1.0
d1_7,0.99904805,1,1.0
d1_8,0.99904805,1,1.0
d1_9,0.99904805,1,1.0
d20_1,0.99914086,1,1.0
d20_10,0.99914086,1,1.0
d20_11,0.99914086,1,1.0
d20_12,0.96700716,1,1.0
d20_13,0.88626283,1,1.0
d20_14,0.9981571,1,1.0
d20_15,0.9986584,1,1.0
d20_16,0.9988697,1,1.0
d20_17,0.9988318,1,1.0
d20_18,0.9988318,1,1.0
d20_19,0.9988318,1,1.0
d20_2,0.99914086,1,1.0
d20_20,0.9988318,1,1.0
d20_21,0.9988318,1,1.0
d20_22,0.9988318,1,1.0
d20_23,0.9935567,1,1.0
d20_24,0.9935567,1,1.0
d20_25,0.0010456657,0,1.0
d20_26,0.2905557,0,1.0
d20_3,0.99914086,1,1.0
d20_4,0.96700716,1,1.0
d20_5,0.99914086,1,1.0
d20_6,0.99914086,1,1.0
d20_7,0.99914086,1,1.0
d20_8,0.99914086,1,1.0
d20_9,0.99914086,1,1.0
d35_1,0.99920493,1,1.0
d35_10,0.99920493,1,1.0
d35_11,0.99920493,1,1.0
d35_12,0.7051955,1,1.0
d35_13,0.99920493,1,1.0
d35_14,0.99920493,1,1.0
d35_15,0.96502244,1,1.0
d35_16,0.99904805,1,1.0
d35_17,0.99904805,1,1.0
