id,prob_is_fake,y_pred,y_true
d12,0.051017076,0,1.0
d121,0.9037616,1,1.0
d124,0.98389935,1,1.0
d134,0.14784348,0,1.0
d135,0.6276371,1,1.0
d139,0.98127353,1,1.0
d157,0.9694122,1,1.0
d169,0.9561267,1,1.0
d170,0.019577593,0,1.0
d172,0.059838288,0,1.0
d175,0.25445837,0,1.0
d177,0.63797855,1,1.0
d31,0.8678337,1,1.0
d36,0.1654782,0,1.0
d56,0.5700219,1,1.0
d6,0.07532745,0,1.0
d60,0.9272599,1,1.0
d80,0.9508464,1,1.0
d94,0.97643834,1,1.0
a,0.017604744,0,0.0
b,0.7417433,1,0.0
c,0.56244826,1,0.0
d,0.9523474,1,0.0
e,0.026602441,0,0.0
f,0.31820604,0,0.0
g,0.93946135,1,0.0
h,0.026163429,0,0.0
i,0.84192026,1,0.0
j,0.3132105,0,0.0
k,0.5184605,1,0.0
l,0.59505624,1,0.0
m,0.5929578,1,0.0
n,0.5542911,1,0.0
o,0.024121098,0,0.0
p,0.027485076,0,0.0
q,0.7121494,1,0.0
r,0.91930014,1,0.0
s,0.07502113,0,0.0
