id,prob_is_fake,y_pred,y_true
5,0.9138615,1,1.0
14,0.8507814,1,1.0
15,0.99208635,1,1.0
21,0.63578075,1,1.0
22,0.26948103,0,1.0
35,0.9931264,1,1.0
41,0.7237955,1,1.0
65,0.87687236,1,1.0
88,0.39470324,0,1.0
92,0.99187356,1,1.0
99,0.9776333,1,1.0
122,0.91345996,1,1.0
131,0.91893023,1,1.0
135,0.5036623,1,1.0
162,0.8902436,1,1.0
167,0.9316622,1,1.0
188,0.33221674,0,1.0
190,0.98577327,1,1.0
201,0.7043259,1,1.0
202,0.590367,1,1.0
206,0.5590559,1,1.0
217,0.65799433,1,1.0
218,0.80835944,1,1.0
231,0.1955136,0,1.0
242,0.95234317,1,1.0
253,0.8013488,1,1.0
270,0.5277633,1,1.0
277,0.91748214,1,1.0
289,0.9153762,1,1.0
296,0.7089846,1,1.0
316,0.69526124,1,1.0
331,0.31674144,0,1.0
338,0.49667615,0,1.0
344,0.8771699,1,1.0
379,0.52778405,1,1.0
380,0.9928604,1,1.0
386,0.9218058,1,1.0
388,0.89609414,1,1.0
392,0.8282091,1,1.0
398,0.6422655,1,1.0
402,0.8918818,1,1.0
407,0.8500134,1,1.0
419,0.68155956,1,1.0
456,0.96405643,1,1.0
460,0.765439,1,1.0
462,0.7521853,1,1.0
467,0.37265003,0,1.0
475,0.9497925,1,1.0
493,0.5296623,1,1.0
503,0.9554097,1,1.0
509,0.7842137,1,1.0
511,0.8185272,1,1.0
521,0.47142604,0,1.0
547,0.56267667,1,1.0
563,0.9184466,1,1.0
565,0.7150298,1,1.0
566,0.37981611,0,1.0
593,0.9539897,1,1.0
601,0.91195333,1,1.0
613,0.98911804,1,1.0
643,0.9908021,1,1.0
647,0.33087692,0,1.0
648,0.87348515,1,1.0
684,0.09535338,0,1.0
687,0.48263893,0,1.0
700,0.6707792,1,1.0
703,0.95133203,1,1.0
720,0.8638527,1,1.0
726,0.33209622,0,1.0
730,0.43378478,0,1.0
739,0.92991215,1,1.0
748,0.99033535,1,1.0
764,0.26229766,0,1.0
767,0.78819,1,1.0
769,0.20253304,0,1.0
770,0.8640468,1,1.0
776,0.47511092,0,1.0
777,0.98554,1,1.0
780,0.807001,1,1.0
792,0.7998939,1,1.0
795,0.94429994,1,1.0
805,0.32419905,0,1.0
806,0.016407635,0,1.0
816,0.60365534,1,1.0
832,0.96130687,1,1.0
841,0.43760875,0,1.0
857,0.12773572,0,1.0
861,0.5038476,1,1.0
871,0.5255788,1,1.0
872,0.95004493,1,1.0
879,0.36547145,0,1.0
898,0.7575774,1,1.0
930,0.93767023,1,1.0
943,0.74347633,1,1.0
956,0.9446167,1,1.0
958,0.6054006,1,1.0
961,0.3609896,0,1.0
976,0.76994884,1,1.0
987,0.6994461,1,1.0
996,0.98022836,1,1.0
1017,0.947108,1,1.0
1018,0.87909627,1,1.0
1022,0.5930074,1,1.0
1026,0.84042794,1,1.0
1027,0.9745758,1,1.0
1045,0.35932776,0,1.0
1083,0.93754137,1,1.0
1089,0.16912173,0,1.0
1096,0.9344476,1,1.0
1102,0.93979466,1,1.0
1108,0.3245202,0,1.0
0,0.2508002,0,0.0
1,0.01036844,0,0.0
2,0.38234618,0,0.0
3,0.34877402,0,0.0
