feature,importance
value38,0.3217667
value25,0.16370235
value6,0.11724099
value24,0.09264502
value48,0.061100382
value2,0.05504971
value7,0.016846366
value33,0.0135832345
value32,0.011618047
value34,0.011564222
value23,0.011450393
value41,0.011194474
value12,0.01052308
value5,0.010467964
value37,0.010308579
value35,0.008126611
value19,0.008115705
value10,0.007349455
value45,0.00591207
value36,0.005302901
value44,0.0052685724
value11,0.0046657007
value21,0.004509823
value1,0.003912657
value17,0.0038970641
value30,0.0033069805
value13,0.002835445
value4,0.0028005843
value22,0.0027428537
value16,0.0023791667
value8,0.0023751378
value40,0.0017466403
value26,0.0010139139
value47,0.000853235
value29,0.0008059269
value18,0.00074869394
value14,0.0006235641
value20,0.00047424535
value27,0.0004135514
value39,0.00039093295
value43,0.00012245224
value46,0.0001171681
value9,0.0001046838
value28,2.2735901e-05
value31,0.0
value42,0.0
value3,0.0
value15,0.0
value0,0.0
