feature,importance
value304,0.10960182
value282,0.042266283
value100,0.038623422
value32,0.036495667
value116,0.034506258
value130,0.033967618
value201,0.028694294
value132,0.028186485
value188,0.024061138
value196,0.023588382
value127,0.02161957
value128,0.020092761
value46,0.017660841
value22,0.017379925
value74,0.016719596
value195,0.016430048
value194,0.01632359
volume,0.01604374
value197,0.01592378
value302,0.015615291
value245,0.015430406
value126,0.015024225
value210,0.014253656
value289,0.012834467
value303,0.012682349
value225,0.012673027
value252,0.011782291
value199,0.011465523
value125,0.01129422
value119,0.010827568
value88,0.010655754
value253,0.010474396
value202,0.01034805
value164,0.010032753
value294,0.01000586
value99,0.009330397
value293,0.009225328
value276,0.009208832
value133,0.009134982
value265,0.008309678
value90,0.0073865624
value98,0.0068969093
value67,0.0064764554
value173,0.006451309
value33,0.0062101367
value79,0.005927062
value120,0.005548727
value211,0.00509731
value104,0.0050818645
value131,0.004890296
value177,0.0046881647
value308,0.0042338353
value315,0.00401354
value200,0.0036294968
value101,0.003560855
value118,0.0030867795
value80,0.0030268775
value268,0.0029535245
value3,0.0027998441
value121,0.00276625
value274,0.0026774416
value193,0.002652613
value175,0.0026276354
value233,0.0025937457
value51,0.002555936
value64,0.0023173785
value115,0.0022367863
value266,0.0021519153
value295,0.0021408317
value91,0.0021394156
value284,0.0021048547
value31,0.0020783448
value277,0.0020294897
value83,0.0020027678
value68,0.001938812
value61,0.0018887349
value48,0.0018347099
value292,0.001834128
value9,0.001804157
value297,0.0017941907
value246,0.0017896157
value234,0.0017869296
value0,0.0017773996
value109,0.001766749
value296,0.0017495669
value24,0.0016934115
value275,0.0016830475
value57,0.0016668474
value167,0.0016432448
value96,0.0016306412
value1,0.0016062341
value135,0.0015167284
value239,0.0015110435
value178,0.0015100864
value174,0.0014323433
value106,0.0014264908
value273,0.0014196534
value255,0.0013670188
value301,0.0013598035
value30,0.0013582798
value192,0.0013255439
value232,0.0013107164
value191,0.0012895922
value5,0.0012844205
value272,0.0012689279
value50,0.0012006628
value182,0.0011188064
value287,0.0011081862
value60,0.0010920375
value263,0.0010718149
value168,0.0010483228
value139,0.0009948635
value66,0.0009906965
value260,0.0009850301
value247,0.0009850289
value147,0.0009764621
value305,0.0009569207
value187,0.0009486172
value76,0.0009198166
value34,0.00091919134
value81,0.0008963343
value283,0.00087958225
value20,0.0008717272
value176,0.0008713184
value170,0.0008682331
value58,0.000863659
value203,0.00085998967
value18,0.0007923171
value77,0.00069200003
value286,0.0006834435
value53,0.0006565228
value92,0.000650139
value212,0.0
value213,0.0
value214,0.0
value262,0.0
value311,0.0
value261,0.0
value290,0.0
value281,0.0
value312,0.0
value310,0.0
value215,0.0
value216,0.0
value291,0.0
value217,0.0
value204,0.0
value264,0.0
value208,0.0
value313,0.0
value316,0.0
value270,0.0
value319,0.0
value318,0.0
value205,0.0
value271,0.0
value317,0.0
value269,0.0
value209,0.0
value267,0.0
value288,0.0
value206,0.0
value207,0.0
value314,0.0
value218,0.0
value259,0.0
value299,0.0
value300,0.0
value243,0.0
value237,0.0
value238,0.0
value251,0.0
value240,0.0
value241,0.0
value298,0.0
value242,0.0
value244,0.0
value309,0.0
value250,0.0
value306,0.0
value278,0.0
value279,0.0
value280,0.0
value249,0.0
value248,0.0
value236,0.0
value235,0.0
value285,0.0
value254,0.0
value220,0.0
value221,0.0
value222,0.0
value258,0.0
value223,0.0
value224,0.0
value307,0.0
value226,0.0
value227,0.0
value228,0.0
value229,0.0
value230,0.0
value231,0.0
value257,0.0
value256,0.0
value219,0.0
value160,0.0
value198,0.0
value65,0.0
value43,0.0
value44,0.0
value45,0.0
value47,0.0
value49,0.0
value52,0.0
value54,0.0
value55,0.0
value56,0.0
value59,0.0
value62,0.0
value63,0.0
value69,0.0
value190,0.0
value70,0.0
value71,0.0
value72,0.0
value73,0.0
value75,0.0
value78,0.0
value82,0.0
value84,0.0
value85,0.0
value86,0.0
value87,0.0
value89,0.0
value42,0.0
value41,0.0
value40,0.0
value39,0.0
value2,0.0
value4,0.0
value6,0.0
value7,0.0
value8,0.0
value10,0.0
value11,0.0
value12,0.0
value13,0.0
value14,0.0
value15,0.0
value16,0.0
value17,0.0
value19,0.0
value21,0.0
value23,0.0
value25,0.0
value26,0.0
value27,0.0
value28,0.0
value29,0.0
value35,0.0
value36,0.0
value37,0.0
value38,0.0
value93,0.0
value94,0.0
value95,0.0
value149,0.0
value151,0.0
value152,0.0
value153,0.0
value154,0.0
value155,0.0
value156,0.0
value157,0.0
value158,0.0
value159,0.0
value161,0.0
value162,0.0
value163,0.0
value165,0.0
value166,0.0
value169,0.0
value171,0.0
value172,0.0
value179,0.0
value180,0.0
value181,0.0
value183,0.0
value184,0.0
value185,0.0
value186,0.0
value189,0.0
value150,0.0
value148,0.0
value97,0.0
value146,0.0
value102,0.0
value103,0.0
value105,0.0
value107,0.0
value108,0.0
value110,0.0
value111,0.0
value112,0.0
value113,0.0
value114,0.0
value117,0.0
value122,0.0
value123,0.0
value124,0.0
value129,0.0
value134,0.0
value136,0.0
value137,0.0
value138,0.0
value140,0.0
value141,0.0
value142,0.0
value143,0.0
value144,0.0
value145,0.0
value320,0.0
