feature,importance
value864,0.06481379
value749,0.05718049
value649,0.024844855
value742,0.023813011
value137,0.022333205
value240,0.022252604
value831,0.021935185
value101,0.021363843
value473,0.021183165
value455,0.021028332
value443,0.019468728
value720,0.017202731
value238,0.016844615
value817,0.016699268
value781,0.015607266
value904,0.01473214
value483,0.013903446
value8,0.013896764
value753,0.013754951
value770,0.012796545
value775,0.011412776
value672,0.011128882
value135,0.010802678
value108,0.010285886
value556,0.010127052
value456,0.010048174
value336,0.0090663405
value738,0.008857961
value361,0.008060587
value587,0.0076022334
value464,0.0073746294
value19,0.007279729
value51,0.006586368
value446,0.0064429617
value75,0.005541033
value475,0.0048049935
value890,0.0047985185
value646,0.0047163246
fault_severity,0.0044137887
value133,0.0043505
value725,0.0042527304
value449,0.0042468123
value49,0.004152147
value387,0.00411293
value806,0.004011605
value363,0.0038362546
value399,0.0036482937
value631,0.003620675
value558,0.0036123248
value840,0.0036108433
value759,0.0035977557
value579,0.0035547323
value244,0.0034773746
value758,0.0033614784
value160,0.0033219892
value845,0.003298195
value182,0.003276772
value317,0.003253155
value879,0.0031713701
value821,0.003117426
value736,0.0031007505
value306,0.0030771776
value859,0.003030366
value735,0.00301905
value467,0.0030088513
value608,0.003006204
value128,0.002998093
value776,0.0029678552
value554,0.0029389402
value901,0.0029119574
value572,0.0028993513
value458,0.0028828704
value452,0.0028624223
value852,0.0027834417
value56,0.0027586492
value899,0.002749947
value303,0.0027310573
value471,0.00272932
value729,0.0027181453
value484,0.0027059303
value884,0.0026651616
value751,0.0026513247
value680,0.0026284407
value165,0.0025954254
value319,0.002588348
value509,0.0025853084
value266,0.0025679693
value635,0.0025653467
value897,0.0025467942
value732,0.0025436685
value318,0.0025380892
value113,0.002528438
value167,0.0025258206
value131,0.00251783
value445,0.0024815637
value139,0.002427761
value27,0.002427031
value815,0.0024238552
value730,0.0024063936
value708,0.0024057287
value47,0.0023990483
value261,0.0023938026
value721,0.0023792791
value754,0.0023787678
value34,0.0023191704
value682,0.002302274
value435,0.0022952808
value462,0.0022852544
value50,0.0022819238
value2,0.0022680445
value496,0.002249548
value15,0.0022455936
value425,0.0022412653
value97,0.0022399384
value129,0.002231719
value829,0.0021983716
value95,0.002164416
value60,0.0021314684
value309,0.0021138892
value589,0.002102832
value494,0.0020998272
value26,0.0020963284
value294,0.002084667
value563,0.002061124
value688,0.0020585197
value479,0.002039532
value451,0.002031022
value603,0.0020299891
value175,0.0020186838
value762,0.0020131532
value461,0.0020089482
value487,0.001987506
value519,0.0019751294
value693,0.0019711417
value181,0.0019709961
value426,0.0019638494
value110,0.00192307
value140,0.0019097829
value288,0.0019094223
value117,0.0019015502
value765,0.0018960407
value154,0.0018826391
value25,0.0018629459
value877,0.0018446668
value253,0.001841791
value230,0.001838919
value442,0.0018159397
value163,0.0017964767
value152,0.0017936315
value285,0.0017735474
value186,0.0017700949
value474,0.0017507741
value31,0.00174967
value184,0.0017280388
value826,0.0017274033
value235,0.0017241416
value802,0.0017146794
value834,0.0017123026
value169,0.0016714575
value43,0.0016499893
value32,0.0016465628
value571,0.001640858
value438,0.0016385239
value168,0.0016326907
value604,0.0016225849
value12,0.0016220739
value427,0.0016202732
value839,0.0016180436
value396,0.0016179644
value277,0.0016156583
value159,0.0016133549
value422,0.0015942028
value281,0.0015650352
value99,0.0015402499
value668,0.0015364854
value786,0.0015142432
value891,0.001493472
value275,0.0014896152
value807,0.0014879857
value143,0.0014865746
value433,0.0014858604
value813,0.0014594248
value905,0.0014577956
value62,0.0014115932
value174,0.0014058173
value857,0.001404975
value718,0.0014035775
value79,0.0014033569
value248,0.0013972863
value297,0.0013945785
value453,0.0013877027
value437,0.0013806164
value271,0.0013736498
value862,0.0013454269
value662,0.0013427036
value211,0.001340796
value290,0.0013383453
value822,0.0013349976
value35,0.0013252493
value681,0.0013204778
value132,0.0013198187
value357,0.0013135462
value664,0.0013133828
value224,0.0013076587
value16,0.0012970535
value18,0.0012892272
value459,0.0012864596
value391,0.0012849151
value745,0.001272811
value485,0.0012629747
value382,0.0012521361
value335,0.0012166142
value666,0.0012147112
value480,0.0011955898
value673,0.0011915591
value838,0.0011884505
value609,0.0011748552
value11,0.0011746674
value740,0.0011729868
value814,0.0011724005
value892,0.0011709024
value39,0.0011660218
value0,0.0011192678
value179,0.0011181262
value654,0.0
value671,0.0
value677,0.0
value676,0.0
value675,0.0
value657,0.0
value648,0.0
value81,0.0
value674,0.0
value658,0.0
value650,0.0
value78,0.0
value651,0.0
value653,0.0
value670,0.0
value669,0.0
value80,0.0
value667,0.0
value656,0.0
value659,0.0
value660,0.0
value665,0.0
value655,0.0
value663,0.0
value652,0.0
value661,0.0
value76,0.0
value678,0.0
value702,0.0
value704,0.0
value705,0.0
value706,0.0
value707,0.0
value72,0.0
value709,0.0
value710,0.0
value711,0.0
value712,0.0
value713,0.0
value714,0.0
value715,0.0
value716,0.0
value717,0.0
value71,0.0
value719,0.0
value70,0.0
value69,0.0
value722,0.0
value703,0.0
value701,0.0
value679,0.0
value700,0.0
value77,0.0
value82,0.0
value683,0.0
value684,0.0
value685,0.0
value686,0.0
value687,0.0
value74,0.0
value689,0.0
value690,0.0
value691,0.0
value692,0.0
value73,0.0
value694,0.0
value695,0.0
value696,0.0
value697,0.0
value698,0.0
value699,0.0
value647,0.0
value190,0.0
value645,0.0
value88,0.0
value581,0.0
value582,0.0
value583,0.0
value584,0.0
value585,0.0
value586,0.0
value89,0.0
value588,0.0
value590,0.0
value90,0.0
value591,0.0
value592,0.0
value593,0.0
value594,0.0
value595,0.0
value596,0.0
value597,0.0
value598,0.0
value580,0.0
value578,0.0
value600,0.0
value567,0.0
value559,0.0
value560,0.0
value561,0.0
value562,0.0
value93,0.0
value564,0.0
value565,0.0
value566,0.0
value568,0.0
value577,0.0
value569,0.0
value570,0.0
value92,0.0
value91,0.0
value573,0.0
value574,0.0
value575,0.0
value576,0.0
value599,0.0
value601,0.0
value644,0.0
value634,0.0
value626,0.0
value627,0.0
value628,0.0
value629,0.0
value630,0.0
value84,0.0
value632,0.0
value633,0.0
value83,0.0
value624,0.0
value636,0.0
value637,0.0
value638,0.0
value639,0.0
value723,0.0
value641,0.0
value642,0.0
value643,0.0
value625,0.0
value623,0.0
value602,0.0
value612,0.0
value87,0.0
value86,0.0
value605,0.0
value606,0.0
value607,0.0
value85,0.0
value610,0.0
value611,0.0
value613,0.0
value622,0.0
value614,0.0
value615,0.0
value616,0.0
value617,0.0
value618,0.0
value619,0.0
value620,0.0
value621,0.0
value640,0.0
value65,0.0
value724,0.0
value849,0.0
value841,0.0
value842,0.0
value843,0.0
value844,0.0
value20,0.0
value846,0.0
value847,0.0
value848,0.0
value850,0.0
value22,0.0
value851,0.0
value853,0.0
value854,0.0
value855,0.0
value856,0.0
value17,0.0
value858,0.0
value860,0.0
value21,0.0
value837,0.0
value68,0.0
value29,0.0
value33,0.0
value818,0.0
value819,0.0
value820,0.0
value30,0.0
value823,0.0
value824,0.0
value825,0.0
value827,0.0
value836,0.0
value828,0.0
value28,0.0
value830,0.0
value24,0.0
value832,0.0
value833,0.0
value23,0.0
value835,0.0
value861,0.0
value863,0.0
value14,0.0
value6,0.0
value888,0.0
value889,0.0
value9,0.0
value7,0.0
value893,0.0
value894,0.0
value895,0.0
value896,0.0
value898,0.0
value865,0.0
value5,0.0
value900,0.0
value4,0.0
value902,0.0
value903,0.0
value3,0.0
value1,0.0
value906,0.0
value887,0.0
value886,0.0
value885,0.0
value10,0.0
value866,0.0
value867,0.0
value868,0.0
value869,0.0
value870,0.0
value871,0.0
value872,0.0
value873,0.0
value874,0.0
value875,0.0
value876,0.0
value13,0.0
value878,0.0
value880,0.0
value881,0.0
value882,0.0
value883,0.0
value816,0.0
value36,0.0
value812,0.0
value757,0.0
value58,0.0
value750,0.0
value57,0.0
value752,0.0
value55,0.0
value54,0.0
value755,0.0
value756,0.0
value53,0.0
value768,0.0
value52,0.0
value760,0.0
value761,0.0
value48,0.0
value763,0.0
value764,0.0
value46,0.0
value766,0.0
value748,0.0
value747,0.0
value746,0.0
value744,0.0
value726,0.0
value727,0.0
value728,0.0
value67,0.0
value66,0.0
value731,0.0
value557,0.0
value733,0.0
value734,0.0
value64,0.0
value63,0.0
value737,0.0
value61,0.0
value739,0.0
value741,0.0
value59,0.0
value743,0.0
value767,0.0
value769,0.0
value811,0.0
value800,0.0
value792,0.0
value793,0.0
value794,0.0
value795,0.0
value796,0.0
value797,0.0
value798,0.0
value799,0.0
value801,0.0
value45,0.0
value803,0.0
value804,0.0
value805,0.0
value38,0.0
value37,0.0
value808,0.0
value809,0.0
value810,0.0
