id,prob_is_fake,y_pred,y_true
8218,0.5730847,1,1.0
1080,0.50750923,1,1.0
13300,0.5730847,1,1.0
9012,0.50750923,1,1.0
9928,0.6924664,1,1.0
16682,0.5730847,1,1.0
5315,0.5101999,1,1.0
6821,0.5057684,1,1.0
11454,0.5730847,1,1.0
13807,0.3955513,0,1.0
11318,0.50750923,1,1.0
18331,0.49002072,0,1.0
13686,0.48563296,0,1.0
9734,0.5730847,1,1.0
4003,0.5730847,1,1.0
741,0.50750923,1,1.0
16502,0.50750923,1,1.0
7774,0.698308,1,1.0
18146,0.48789942,0,1.0
1697,0.50750923,1,1.0
6234,0.5659035,1,1.0
9514,0.50750923,1,1.0
10237,0.29976314,0,1.0
2380,0.23175599,0,1.0
7922,0.4073583,0,1.0
8570,0.50750923,1,1.0
8583,0.50750923,1,1.0
6449,0.54788685,1,1.0
1197,0.50750923,1,1.0
479,0.44826648,0,1.0
18192,0.50750923,1,1.0
15086,0.6172567,1,1.0
16989,0.6172567,1,1.0
8935,0.39066258,0,1.0
5292,0.57256764,1,1.0
3670,0.5730847,1,1.0
1954,0.47858766,0,1.0
6847,0.5041656,1,1.0
9713,0.50750923,1,1.0
3303,0.56456655,1,1.0
12619,0.4609224,0,1.0
18093,0.5730847,1,1.0
13301,0.50750923,1,1.0
17237,0.5043934,1,1.0
16249,0.82763445,1,1.0
5689,0.6300287,1,1.0
17745,0.75466615,1,1.0
14337,0.49004546,0,1.0
12623,0.50750923,1,1.0
16230,0.516672,1,1.0
4558,0.54788685,1,1.0
7579,0.43547702,0,1.0
11860,0.4279612,0,1.0
11333,0.50750923,1,1.0
17788,0.39823732,0,1.0
5336,0.3773843,0,1.0
2143,0.56456655,1,1.0
6471,0.6172567,1,1.0
12471,0.50750923,1,1.0
11738,0.6114611,1,1.0
4831,0.50750923,1,1.0
12977,0.6300287,1,1.0
10389,0.59310544,1,1.0
1646,0.50750923,1,1.0
12353,0.5082984,1,1.0
14212,0.6172567,1,1.0
7670,0.47017297,0,1.0
9951,0.44688216,0,1.0
16092,0.5659035,1,1.0
4175,0.6365199,1,1.0
6891,0.50750923,1,1.0
18227,0.82763445,1,1.0
12320,0.642792,1,1.0
5537,0.50729966,1,1.0
2118,0.50750923,1,1.0
11078,0.50750923,1,1.0
11776,0.5730847,1,1.0
3364,0.51162475,1,1.0
13823,0.50750923,1,1.0
17029,0.5493929,1,1.0
6991,0.56456655,1,1.0
3952,0.5596179,1,1.0
16359,0.44587228,0,1.0
12255,0.6056624,1,1.0
5337,0.4544723,0,1.0
7649,0.43245223,0,1.0
1085,0.47869495,0,1.0
10642,0.87047297,1,1.0
6787,0.50750923,1,1.0
16045,0.50750923,1,1.0
5075,0.50750923,1,1.0
3195,0.60363036,1,1.0
9263,0.57787246,1,1.0
17837,0.50750923,1,1.0
14522,0.5730847,1,1.0
5183,0.5730847,1,1.0
9137,0.47805834,0,1.0
7196,0.50750923,1,1.0
13593,0.50750923,1,1.0
7151,0.5249467,1,1.0
13384,0.5730847,1,1.0
9770,0.50750923,1,1.0
17200,0.57256764,1,1.0
18215,0.50750923,1,1.0
412,0.5730847,1,1.0
8309,0.50750923,1,1.0
11692,0.50750923,1,1.0
12284,0.5730847,1,1.0
14164,0.53300804,1,1.0
9927,0.35185164,0,1.0
2731,0.50750923,1,1.0
14206,0.5730847,1,1.0
17636,0.68496585,1,1.0
13743,0.5043934,1,1.0
5112,0.7683326,1,1.0
13660,0.26936334,0,1.0
2409,0.5730847,1,1.0
13239,0.50750923,1,1.0
17362,0.358883,0,1.0
15985,0.5142586,1,1.0
3456,0.6172567,1,1.0
15977,0.6172567,1,1.0
958,0.5585141,1,1.0
377,0.50750923,1,1.0
1582,0.50750923,1,1.0
3092,0.50750923,1,1.0
5702,0.6056624,1,1.0
2458,0.5730847,1,1.0
3341,0.48563296,0,1.0
14682,0.3981408,0,1.0
12073,0.4843667,0,1.0
13779,0.50750923,1,1.0
13499,0.6229612,1,1.0
9329,0.5730847,1,1.0
17714,0.5659035,1,1.0
6765,0.56549484,1,1.0
9601,0.50750923,1,1.0
10724,0.50750923,1,1.0
4368,0.6910831,1,1.0
7122,0.5144202,1,1.0
13458,0.6308046,1,1.0
9010,0.5730847,1,1.0
11124,0.39332548,0,1.0
16507,0.5730847,1,1.0
18119,0.516672,1,1.0
15807,0.44683117,0,1.0
11618,0.52852666,1,1.0
188,0.50750923,1,1.0
1806,0.60790884,1,1.0
4643,0.30924428,0,1.0
12999,0.6229612,1,1.0
7602,0.5730847,1,1.0
5046,0.5730847,1,1.0
13052,0.50750923,1,1.0
3956,0.50179046,1,1.0
1872,0.50750923,1,1.0
11121,0.50750923,1,1.0
969,0.50750923,1,1.0
8651,0.50750923,1,1.0
11617,0.50750923,1,1.0
8222,0.3928556,0,1.0
1193,0.63488686,1,1.0
1692,0.50750923,1,1.0
496,0.4964846,0,1.0
16598,0.54788685,1,1.0
11152,0.38153377,0,1.0
11616,0.32369614,0,1.0
17677,0.50750923,1,1.0
13294,0.50750923,1,1.0
13741,0.5730847,1,1.0
16291,0.13503464,0,1.0
7337,0.50750923,1,1.0
8104,0.6172567,1,1.0
17525,0.521629,1,1.0
575,0.6274265,1,1.0
10120,0.5730847,1,1.0
4108,0.6172567,1,1.0
3543,0.50750923,1,1.0
5449,0.50750923,1,1.0
7216,0.6172567,1,1.0
18287,0.50750923,1,1.0
9270,0.5730847,1,1.0
4117,0.54180133,1,1.0
11110,0.59310544,1,1.0
2518,0.644429,1,1.0
8389,0.50750923,1,1.0
8811,0.3575076,0,1.0
15028,0.54180133,1,1.0
9631,0.87047297,1,1.0
16703,0.41381505,0,1.0
13094,0.5730847,1,1.0
17919,0.5730847,1,1.0
2000,0.4901829,0,1.0
16497,0.6172567,1,1.0
17948,0.7094338,1,1.0
8514,0.7136375,1,1.0
5603,0.50750923,1,1.0
13553,0.516672,1,1.0
6984,0.50750923,1,1.0
334,0.3981408,0,1.0
4962,0.54788685,1,1.0
6657,0.54788685,1,1.0
15355,0.5730847,1,1.0
13171,0.54954547,1,1.0
11411,0.5730847,1,1.0
7861,0.50750923,1,1.0
4308,0.5438989,1,1.0
17426,0.4874034,0,1.0
9581,0.50750923,1,1.0
7794,0.5730847,1,1.0
284,0.50750923,1,1.0
10272,0.33700275,0,1.0
6116,0.5730847,1,1.0
17041,0.5596179,1,1.0
11119,0.75466615,1,1.0
9488,0.4184563,0,1.0
5985,0.4991258,0,1.0
5818,0.59861845,1,1.0
4139,0.4843667,0,1.0
9824,0.50750923,1,1.0
15185,0.48650262,0,1.0
1625,0.50750923,1,1.0
10841,0.5730847,1,1.0
13955,0.6606461,1,1.0
9214,0.3355904,0,1.0
18537,0.5144202,1,1.0
5312,0.7268539,1,1.0
13220,0.5730847,1,1.0
12494,0.4843667,0,1.0
6051,0.6114611,1,1.0
11483,0.58836675,1,1.0
3690,0.5730847,1,1.0
4004,0.4610446,0,1.0
9022,0.50750923,1,1.0
2066,0.50750923,1,1.0
9539,0.50750923,1,1.0
14158,0.41381505,0,1.0
10574,0.57787246,1,1.0
9756,0.3773843,0,1.0
449,0.5523304,1,1.0
397,0.64807844,1,1.0
7206,0.59310544,1,1.0
9273,0.50750923,1,1.0
2406,0.7628735,1,1.0
17524,0.50750923,1,1.0
17133,0.3575076,0,1.0
8442,0.5730847,1,1.0
8997,0.5730847,1,1.0
6589,0.6172567,1,1.0
4464,0.50750923,1,1.0
2405,0.50750923,1,1.0
3647,0.50750923,1,1.0
6018,0.29976314,0,1.0
3674,0.47090006,0,1.0
16581,0.50750923,1,1.0
5359,0.6955723,1,1.0
13977,0.50750923,1,1.0
4966,0.4874034,0,1.0
9932,0.50750923,1,1.0
8049,0.52126545,1,1.0
238,0.5101999,1,1.0
15445,0.50750923,1,1.0
5014,0.50750923,1,1.0
16426,0.82828313,1,1.0
12714,0.5730847,1,1.0
14391,0.50750923,1,1.0
5641,0.67781824,1,1.0
1534,0.50750923,1,1.0
408,0.37562728,0,1.0
16121,0.44688216,0,1.0
13267,0.47805834,0,1.0
10833,0.5730847,1,1.0
17812,0.50750923,1,1.0
16756,0.441871,0,1.0
5113,0.44587228,0,1.0
11640,0.57256764,1,1.0
4523,0.50750923,1,1.0
2308,0.46856475,0,1.0
12969,0.6308046,1,1.0
2177,0.6114611,1,1.0
16396,0.4073583,0,1.0
4631,0.47869495,0,1.0
18055,0.13503464,0,1.0
9636,0.50750923,1,1.0
12221,0.4594397,0,1.0
13559,0.50750923,1,1.0
1674,0.43547702,0,1.0
5894,0.5043934,1,1.0
10961,0.50750923,1,1.0
4044,0.33072376,0,1.0
5478,0.5101999,1,1.0
2980,0.4365553,0,1.0
13756,0.7628735,1,1.0
4132,0.50750923,1,1.0
16189,0.516672,1,1.0
14827,0.5730847,1,1.0
4839,0.5730847,1,1.0
16661,0.50750923,1,1.0
8008,0.5864658,1,1.0
15287,0.3262924,0,1.0
14728,0.3955513,0,1.0
8786,0.50750923,1,1.0
12219,0.47009525,0,1.0
16378,0.29976314,0,1.0
16200,0.5730847,1,1.0
7224,0.4772063,0,1.0
18134,0.50750923,1,1.0
16607,0.43604055,0,1.0
321,0.5730847,1,1.0
16733,0.50750923,1,1.0
2793,0.4767791,0,1.0
2722,0.5048413,1,1.0
15914,0.50750923,1,1.0
6842,0.50750923,1,1.0
12319,0.40963066,0,1.0
12844,0.31623104,0,1.0
17739,0.5730847,1,1.0
9804,0.67781824,1,1.0
17928,0.5514755,1,1.0
1991,0.5730847,1,1.0
12856,0.50750923,1,1.0
10545,0.5730847,1,1.0
15360,0.50750923,1,1.0
7020,0.6172567,1,1.0
17211,0.50750923,1,1.0
4675,0.7632914,1,1.0
14299,0.59310544,1,1.0
3444,0.46237358,0,1.0
4287,0.31049618,0,1.0
13013,0.7268539,1,1.0
7755,0.50750923,1,1.0
15989,0.5043934,1,1.0
1415,0.6114611,1,1.0
6838,0.5696122,1,1.0
11693,0.59310544,1,1.0
17960,0.6172567,1,1.0
5849,0.5271519,1,1.0
8273,0.54734075,1,1.0
16311,0.5730847,1,1.0
1852,0.56456655,1,1.0
381,0.5730847,1,1.0
17879,0.6172567,1,1.0
14906,0.49173167,0,1.0
9021,0.5222681,1,1.0
7291,0.49002072,0,1.0
5040,0.5144202,1,1.0
8483,0.50750923,1,1.0
17102,0.6172567,1,1.0
11322,0.5730847,1,1.0
6122,0.50750923,1,1.0
11453,0.5811305,1,1.0
17898,0.50750923,1,1.0
17715,0.50750923,1,1.0
2680,0.50750923,1,1.0
15912,0.5730847,1,1.0
12686,0.50750923,1,1.0
4758,0.5427599,1,1.0
11369,0.50750923,1,1.0
3553,0.7470603,1,1.0
17927,0.47017297,0,1.0
9627,0.6172567,1,1.0
12939,0.5730847,1,1.0
15293,0.49398592,0,1.0
3501,0.23175599,0,1.0
9139,0.50750923,1,1.0
1383,0.5730847,1,1.0
11500,0.6424675,1,1.0
12698,0.6901899,1,1.0
11950,0.52852666,1,1.0
13453,0.50750923,1,1.0
5523,0.50750923,1,1.0
8261,0.6172567,1,1.0
16868,0.50750923,1,1.0
4975,0.50750923,1,1.0
15223,0.50750923,1,1.0
129,0.45676193,0,1.0
2041,0.50750923,1,1.0
10198,0.43245223,0,1.0
17042,0.50750923,1,1.0
13206,0.6172567,1,1.0
53,0.7268539,1,1.0
630,0.50750923,1,1.0
10135,0.50750923,1,1.0
3322,0.44683117,0,1.0
4079,0.5730847,1,1.0
484,0.44528285,0,1.0
8564,0.47869495,0,1.0
3263,0.5445583,1,1.0
11599,0.5048413,1,1.0
17682,0.5864658,1,1.0
11374,0.3955513,0,1.0
1749,0.5730847,1,1.0
12479,0.6114611,1,1.0
207,0.48259705,0,1.0
4676,0.50521827,1,1.0
14132,0.5696122,1,1.0
11932,0.50750923,1,1.0
13698,0.6229612,1,1.0
15878,0.50750923,1,1.0
8036,0.4493361,0,1.0
15895,0.50750923,1,1.0
1271,0.50750923,1,1.0
18395,0.50750923,1,1.0
8799,0.4901829,0,1.0
10320,0.50750923,1,1.0
6516,0.4843667,0,1.0
92,0.56549484,1,1.0
11694,0.5730847,1,1.0
5910,0.50750923,1,1.0
12224,0.5101999,1,1.0
17276,0.4843667,0,1.0
17357,0.58628345,1,1.0
16698,0.50750923,1,1.0
4429,0.50750923,1,1.0
17908,0.50750923,1,1.0
2383,0.39733282,0,1.0
3812,0.5383816,1,1.0
5295,0.5730847,1,1.0
10814,0.50750923,1,1.0
732,0.50750923,1,1.0
260,0.51453984,1,1.0
2569,0.59310544,1,1.0
12306,0.44553047,0,1.0
5777,0.50750923,1,1.0
10246,0.50750923,1,1.0
9946,0.45255834,0,1.0
15451,0.50750923,1,1.0
13162,0.50750923,1,1.0
2663,0.49002072,0,1.0
10857,0.5730847,1,1.0
17925,0.54127073,1,1.0
14744,0.5730847,1,1.0
16796,0.5248118,1,1.0
4383,0.50750923,1,1.0
7309,0.56549484,1,1.0
17800,0.52852666,1,1.0
5852,0.30924428,0,1.0
15470,0.47542274,0,1.0
12189,0.21453413,0,1.0
13966,0.50750923,1,1.0
11118,0.50750923,1,1.0
1385,0.54788685,1,1.0
12720,0.55634725,1,1.0
11030,0.50750923,1,1.0
12692,0.45536572,0,1.0
2501,0.54788685,1,1.0
10871,0.50267744,1,1.0
7235,0.5659035,1,1.0
8738,0.50750923,1,1.0
7097,0.50750923,1,1.0
17687,0.50750923,1,1.0
12583,0.50750923,1,1.0
9243,0.5730847,1,1.0
16752,0.50750923,1,1.0
18344,0.50750923,1,1.0
18548,0.50750923,1,1.0
3745,0.52126545,1,1.0
11353,0.5730847,1,1.0
7521,0.50750923,1,1.0
13167,0.72640026,1,1.0
17401,0.59310544,1,1.0
4590,0.38153377,0,1.0
8002,0.5057684,1,1.0
455,0.59310544,1,1.0
3225,0.5328249,1,1.0
6665,0.5730847,1,1.0
8678,0.4890203,0,1.0
15331,0.6172567,1,1.0
2058,0.50750923,1,1.0
12143,0.5696122,1,1.0
13250,0.50750923,1,1.0
14375,0.50750923,1,1.0
1834,0.82763445,1,1.0
4269,0.50750923,1,1.0
17417,0.50750923,1,1.0
2377,0.5659035,1,1.0
16332,0.59310544,1,1.0
12924,0.5659035,1,1.0
12197,0.5730847,1,1.0
17858,0.50750923,1,1.0
4769,0.5730847,1,1.0
2836,0.50750923,1,1.0
7203,0.6198403,1,1.0
474,0.5057684,1,1.0
13634,0.50750923,1,1.0
11642,0.47017297,0,1.0
17665,0.32369614,0,1.0
5925,0.52852666,1,1.0
16163,0.3928556,0,1.0
2867,0.45536572,0,1.0
3883,0.5101999,1,1.0
15679,0.50750923,1,1.0
9323,0.5401157,1,1.0
1946,0.5328249,1,1.0
12420,0.5115148,1,1.0
7630,0.5730847,1,1.0
14383,0.50750923,1,1.0
13186,0.50750923,1,1.0
15880,0.516672,1,1.0
3756,0.5730847,1,1.0
14955,0.46237358,0,1.0
1865,0.5730847,1,1.0
6828,0.47017297,0,1.0
2774,0.75466615,1,1.0
8956,0.3955513,0,1.0
