feature,importance
value44,0.23800687
value16,0.07858529
value11,0.07746507
value18,0.064861976
value43,0.04852476
value26,0.047282998
value19,0.042847622
value41,0.042280927
value27,0.036013037
value45,0.035659168
value29,0.029510967
value13,0.024721688
value14,0.021298425
value6,0.01812658
value46,0.016314657
value17,0.014888414
value9,0.014510425
value35,0.014053972
value23,0.013179662
value42,0.012869459
value12,0.012688488
value8,0.012015856
value34,0.011596138
value40,0.011172624
value39,0.0110915275
value22,0.01107756
value33,0.010942065
value36,0.0084693115
value2,0.004568714
value28,0.0038936804
value10,0.001872468
value32,0.0018540294
value24,0.0018276242
value21,0.0012907453
value20,0.00115273
value25,0.00088328065
value5,0.000878223
value37,0.0006960455
value47,0.00031107292
value30,0.00028611216
value7,0.00019935778
value48,0.00012377977
value1,8.514226e-05
value4,2.1365886e-05
value38,0.0
value31,0.0
value15,0.0
value3,0.0
value0,0.0
