feature,importance
value306,0.05675452
value305,0.034120865
value295,0.03216175
value165,0.029299809
value79,0.028626254
value99,0.020362606
value131,0.019420916
value254,0.018902645
value130,0.01855693
volume,0.018384114
value201,0.018303694
value100,0.018284544
value125,0.017907724
value200,0.01787765
value203,0.017828247
value197,0.017684527
value30,0.016855549
value88,0.016640484
value114,0.014699217
value228,0.013776276
value66,0.013533888
value126,0.013021918
value128,0.012490066
value123,0.01224755
value90,0.012229862
value101,0.011794227
value124,0.010814439
value277,0.010633502
value198,0.010573591
value240,0.010344061
value75,0.010116394
value189,0.010080815
value291,0.0091369385
value202,0.009020106
value253,0.008777193
value294,0.008731104
value55,0.008531309
value50,0.008519559
value98,0.008442803
value92,0.008208504
value297,0.008174979
value279,0.007975684
value296,0.0078073144
value129,0.007697763
value304,0.0076607782
value204,0.007634377
value195,0.007445464
value286,0.0069139567
value67,0.0067619965
value266,0.006679108
value311,0.0064242636
value175,0.006374884
value174,0.0063150874
value20,0.006221824
value196,0.006220097
value56,0.006169168
value181,0.0060516424
value127,0.005838917
value194,0.0057971785
value116,0.00569385
value285,0.0055536292
value93,0.005306593
value18,0.0051348135
value303,0.0049489886
value2,0.004940894
value9,0.004805017
value62,0.0045668064
value106,0.0045298515
value117,0.0045180875
value104,0.004362507
value249,0.0042861444
value183,0.0042757727
value278,0.004068055
value173,0.003980168
value57,0.0038978236
value59,0.0038359566
value168,0.003684793
value170,0.0035044078
value177,0.0034216417
value63,0.0034148158
value78,0.003342199
value239,0.0033072622
value246,0.0030876368
value86,0.0030737233
value274,0.0029393388
value132,0.0029013618
value159,0.0028563105
value206,0.0028496208
value68,0.0027788456
value164,0.0026871206
value69,0.002635069
value29,0.002510377
value0,0.002359702
value133,0.0023391834
value3,0.002314546
value17,0.0023091717
value275,0.0023050737
value235,0.0022882423
value8,0.0022610566
value261,0.0021904134
value80,0.0021690552
value247,0.002126035
value268,0.0020699985
value120,0.001968241
value47,0.0019496619
value12,0.0018876881
value191,0.0018461058
value146,0.0018333603
value171,0.0017479551
value271,0.0017102793
value97,0.0016526547
value270,0.0016298743
value169,0.0015695551
value236,0.0015123939
value212,0.0014971042
value178,0.0014807014
value232,0.0014641045
value262,0.0014450375
value31,0.0014168062
value233,0.0013883779
value82,0.0013831613
value64,0.0013785041
value205,0.0013626483
value242,0.0013505848
value135,0.0013498509
value24,0.0012891275
value96,0.0012830119
value45,0.0012820124
value118,0.0012408436
value252,0.0012368294
value58,0.0011924881
value166,0.0011922839
value35,0.0011485486
value94,0.0011432724
value52,0.0011111298
value256,0.0010988408
value192,0.0010901617
value199,0.0010841067
value1,0.0010658375
value83,0.0010597886
value85,0.0009940007
value188,0.0009799248
value255,0.000932912
value292,0.00091554585
value237,0.0009068371
value284,0.00089769694
value289,0.00086309016
value290,0.0008628541
value121,0.0008273528
value95,0.0008268957
value298,0.0008170439
value112,0.000777707
value302,0.00076264347
value223,0.0
value318,0.0
value216,0.0
value217,0.0
value218,0.0
value219,0.0
value220,0.0
value321,0.0
value320,0.0
value319,0.0
value229,0.0
value313,0.0
value224,0.0
value230,0.0
value317,0.0
value316,0.0
value221,0.0
value314,0.0
value227,0.0
value222,0.0
value315,0.0
value226,0.0
value225,0.0
value283,0.0
value308,0.0
value312,0.0
value259,0.0
value293,0.0
value263,0.0
value264,0.0
value265,0.0
value267,0.0
value214,0.0
value269,0.0
value288,0.0
value287,0.0
value272,0.0
value273,0.0
value276,0.0
value280,0.0
value281,0.0
value282,0.0
value260,0.0
value299,0.0
value231,0.0
value300,0.0
value310,0.0
value234,0.0
value238,0.0
value309,0.0
value241,0.0
value243,0.0
value244,0.0
value245,0.0
value248,0.0
value250,0.0
value251,0.0
value257,0.0
value258,0.0
value307,0.0
value301,0.0
value215,0.0
value161,0.0
value213,0.0
value65,0.0
value42,0.0
value43,0.0
value44,0.0
value46,0.0
value48,0.0
value49,0.0
value51,0.0
value53,0.0
value54,0.0
value60,0.0
value61,0.0
value70,0.0
value211,0.0
value71,0.0
value72,0.0
value73,0.0
value74,0.0
value76,0.0
value77,0.0
value81,0.0
value84,0.0
value87,0.0
value89,0.0
value91,0.0
value41,0.0
value40,0.0
value39,0.0
value38,0.0
value4,0.0
value5,0.0
value6,0.0
value7,0.0
value10,0.0
value11,0.0
value13,0.0
value14,0.0
value15,0.0
value16,0.0
value19,0.0
value21,0.0
value22,0.0
value23,0.0
value25,0.0
value26,0.0
value27,0.0
value28,0.0
value32,0.0
value33,0.0
value34,0.0
value36,0.0
value37,0.0
value102,0.0
value103,0.0
value105,0.0
value153,0.0
value155,0.0
value156,0.0
value157,0.0
value158,0.0
value160,0.0
value162,0.0
value163,0.0
value167,0.0
value172,0.0
value176,0.0
value179,0.0
value180,0.0
value182,0.0
value184,0.0
value185,0.0
value186,0.0
value187,0.0
value190,0.0
value193,0.0
value207,0.0
value208,0.0
value209,0.0
value210,0.0
value154,0.0
value152,0.0
value107,0.0
value151,0.0
value108,0.0
value109,0.0
value110,0.0
value111,0.0
value113,0.0
value115,0.0
value119,0.0
value122,0.0
value134,0.0
value136,0.0
value137,0.0
value138,0.0
value139,0.0
value140,0.0
value141,0.0
value142,0.0
value143,0.0
value144,0.0
value145,0.0
value147,0.0
value148,0.0
value149,0.0
value150,0.0
value322,0.0
