feature,importance
value439,0.035401404
value98,0.034683578
value739,0.031486053
value722,0.025319347
value105,0.024826428
value642,0.024236534
value906,0.023447948
value735,0.02288887
value732,0.022609113
value669,0.021867562
value364,0.021217251
value585,0.021103231
value747,0.0196909
value74,0.018781431
value880,0.017625852
value555,0.017338023
value84,0.016915837
value770,0.016903179
value135,0.016613957
value627,0.016550152
value751,0.016486408
value717,0.015123263
value474,0.012810172
value864,0.011762985
value781,0.011661074
value8,0.010091862
value238,0.0094967345
value133,0.0092441905
value154,0.009068718
value645,0.008289859
value692,0.008017128
value60,0.0069535756
value42,0.006917003
value763,0.0064708297
value714,0.006302069
value25,0.006193506
value180,0.0055116974
value44,0.0052333865
value743,0.00499424
value859,0.0044884216
value357,0.0043406044
value822,0.0040486855
fault_severity,0.003841561
value812,0.0038257714
value43,0.0037747882
value139,0.0036762003
value27,0.0036550073
value804,0.003638636
value815,0.0036015431
value663,0.0032771644
value284,0.003247797
value89,0.0032444734
value769,0.0032235878
value556,0.0032148228
value163,0.0031906436
value673,0.0031529637
value489,0.0031185038
value881,0.0031005244
value14,0.003073904
value828,0.0030649332
value830,0.0029724094
value601,0.0029218323
value446,0.0029118482
value754,0.0028905831
value843,0.0027890871
value862,0.0027869444
value295,0.0027041247
value0,0.0026627842
value831,0.0025874479
value158,0.0025435232
value819,0.002534974
value391,0.002507867
value760,0.002503046
value130,0.0024919685
value153,0.0024331172
value196,0.0024076311
value45,0.0024008001
value908,0.0023906927
value498,0.002353643
value380,0.0023279667
value761,0.002300579
value570,0.0022970242
value12,0.0022889504
value799,0.0022568968
value662,0.0022550635
value305,0.0022503335
value863,0.002239503
value727,0.002238132
value289,0.0022048438
value813,0.0021971385
value635,0.0021868567
value341,0.002166557
value469,0.00216572
value431,0.0021136524
value19,0.0021027476
value680,0.0020961417
value905,0.0020922006
value92,0.0020592802
value161,0.0020527178
value817,0.0020447685
value477,0.002041031
value366,0.0020238257
value587,0.002008477
value388,0.0020027517
value529,0.0019998574
value430,0.0019978017
value885,0.0019936347
value607,0.0019893972
value15,0.0019540375
value104,0.0019397314
value397,0.0019086971
value32,0.001899619
value142,0.0018984698
value409,0.0018981834
value129,0.0018657756
value599,0.0018365029
value383,0.0018351226
value352,0.0018270526
value176,0.00182178
value659,0.0018213649
value465,0.0017951931
value267,0.0017918539
value9,0.0017885551
value845,0.00178829
value702,0.0017826343
value127,0.0017772942
value578,0.0017749061
value109,0.0017715876
value810,0.0017679828
value87,0.0017622163
value419,0.0017481314
value30,0.0017462298
value370,0.0017412289
value128,0.0017285821
value399,0.0017242364
value170,0.0017239607
value677,0.0017120921
value236,0.0017016025
value491,0.0016911876
value541,0.0016870903
value492,0.0016848091
value86,0.0016772335
value408,0.0016769664
value220,0.0016741726
value344,0.001662819
value755,0.0016615695
value65,0.0016594337
value823,0.001654742
value454,0.0016456784
value48,0.0016377341
value851,0.0016162961
value149,0.0016131081
value113,0.0016051375
value52,0.0015961028
value265,0.001592471
value169,0.0015532519
value11,0.0015457334
value111,0.0015374688
value79,0.0015371982
value78,0.001536786
value21,0.0015313746
value191,0.0015307829
value136,0.001524604
value3,0.0015236515
value854,0.0014976687
value865,0.0014892376
value438,0.00148552
value7,0.0013988491
value137,0.0013958656
value350,0.0013908873
value333,0.0013892652
value776,0.0013824648
value18,0.0013451712
value230,0.0013175944
value724,0.0013147816
value647,0.0013117805
value860,0.0012990708
value871,0.0012799519
value35,0.0012783577
value590,0.0012753409
value212,0.0012707908
value392,0.0012596947
value597,0.0012539092
value644,0.0012403991
value394,0.00123869
value83,0.0012375346
value40,0.0012341999
value494,0.0012282457
value167,0.001226859
value248,0.0012205885
value54,0.0012183345
value898,0.0012170268
value282,0.0012139045
value853,0.0012054491
value701,0.0012014407
value756,0.0011976097
value395,0.0011954276
value148,0.0011940035
value112,0.0011882662
value38,0.001186158
value417,0.0011790101
value797,0.0011659777
value387,0.0011562812
value894,0.001152569
value907,0.0011497117
value406,0.0011399017
value173,0.0011394295
value342,0.0011363983
value204,0.0011346675
value837,0.0011345648
value88,0.0011332508
value699,0.0011328369
value159,0.0011316527
value405,0.0011273319
value771,0.0011208983
value731,0.0011058823
value258,0.0011038583
value584,0.0010999497
value114,0.0010769204
value909,0.0010702901
value463,0.0010694546
value249,0.0010683351
value448,0.0010587247
value752,0.0010573483
value636,0.0010552934
value442,0.001053831
value740,0.001046426
value718,0.0010411906
value108,0.0010346611
value358,0.0010198075
value311,0.0010065195
value816,0.0009692511
value356,0.0009648162
value493,0.0009602016
value592,0.00095733453
value462,0.00095710316
value274,0.00095517613
value455,0.0009534362
value559,0.00095306087
value802,0.00095232157
value840,0.0009422671
value451,0.00093819987
value737,0.0009373942
value468,0.0009349419
value184,0.00093288673
value322,0.0009327561
value565,0.00092685275
value508,0.0009245451
value808,0.0009052971
value91,0.0009043747
value685,0.0
value679,0.0
value61,0.0
value729,0.0
value681,0.0
value683,0.0
value684,0.0
value686,0.0
value682,0.0
value675,0.0
value730,0.0
value64,0.0
value66,0.0
value664,0.0
value665,0.0
value666,0.0
value667,0.0
value668,0.0
value670,0.0
value678,0.0
value671,0.0
value672,0.0
value63,0.0
value674,0.0
value676,0.0
value62,0.0
value687,0.0
value725,0.0
value688,0.0
value689,0.0
value708,0.0
value709,0.0
value179,0.0
value710,0.0
value711,0.0
value712,0.0
value713,0.0
value57,0.0
value715,0.0
value716,0.0
value56,0.0
value726,0.0
value719,0.0
value720,0.0
value721,0.0
value55,0.0
value723,0.0
value707,0.0
value706,0.0
value705,0.0
value695,0.0
value138,0.0
value690,0.0
value691,0.0
value59,0.0
value67,0.0
value693,0.0
value694,0.0
value696,0.0
value704,0.0
value697,0.0
value698,0.0
value182,0.0
value700,0.0
value181,0.0
value58,0.0
value703,0.0
value728,0.0
value219,0.0
value661,0.0
value606,0.0
value598,0.0
value76,0.0
value600,0.0
value75,0.0
value602,0.0
value603,0.0
value604,0.0
value605,0.0
value73,0.0
value617,0.0
value608,0.0
value609,0.0
value610,0.0
value611,0.0
value612,0.0
value613,0.0
value614,0.0
value615,0.0
value185,0.0
value596,0.0
value595,0.0
value594,0.0
value576,0.0
value577,0.0
value189,0.0
value579,0.0
value580,0.0
value581,0.0
value582,0.0
value583,0.0
value188,0.0
value187,0.0
value586,0.0
value77,0.0
value588,0.0
value589,0.0
value186,0.0
value591,0.0
value593,0.0
value616,0.0
value618,0.0
value660,0.0
value651,0.0
value70,0.0
value643,0.0
value69,0.0
value646,0.0
value183,0.0
value648,0.0
value649,0.0
value650,0.0
value652,0.0
value619,0.0
value653,0.0
value654,0.0
value655,0.0
value656,0.0
value657,0.0
value53,0.0
value658,0.0
value68,0.0
value641,0.0
value640,0.0
value639,0.0
value638,0.0
value620,0.0
value621,0.0
value622,0.0
value623,0.0
value624,0.0
value625,0.0
value626,0.0
value72,0.0
value628,0.0
value629,0.0
value630,0.0
value631,0.0
value632,0.0
value633,0.0
value634,0.0
value71,0.0
value637,0.0
value178,0.0
value51,0.0
value733,0.0
value856,0.0
value848,0.0
value849,0.0
value850,0.0
value162,0.0
value852,0.0
value144,0.0
value160,0.0
value855,0.0
value857,0.0
value867,0.0
value858,0.0
value13,0.0
value145,0.0
value861,0.0
value157,0.0
value10,0.0
value156,0.0
value155,0.0
value847,0.0
value846,0.0
value16,0.0
value844,0.0
value826,0.0
value827,0.0
value165,0.0
value829,0.0
value20,0.0
value164,0.0
value832,0.0
value833,0.0
value834,0.0
value835,0.0
value836,0.0
value143,0.0
value838,0.0
value839,0.0
value841,0.0
value842,0.0
value17,0.0
value866,0.0
value868,0.0
value734,0.0
value899,0.0
value891,0.0
value892,0.0
value893,0.0
value147,0.0
value895,0.0
value896,0.0
value897,0.0
value152,0.0
value900,0.0
value869,0.0
value901,0.0
value902,0.0
value903,0.0
value904,0.0
value151,0.0
value2,0.0
value150,0.0
value1,0.0
value890,0.0
value889,0.0
value888,0.0
value887,0.0
value870,0.0
value146,0.0
value872,0.0
value873,0.0
value874,0.0
value875,0.0
value876,0.0
value877,0.0
value878,0.0
value879,0.0
value6,0.0
value5,0.0
value882,0.0
value883,0.0
value884,0.0
value4,0.0
value886,0.0
value825,0.0
value824,0.0
value22,0.0
value767,0.0
value759,0.0
value41,0.0
value174,0.0
value762,0.0
value39,0.0
value764,0.0
value765,0.0
value766,0.0
value768,0.0
value23,0.0
value172,0.0
value37,0.0
value171,0.0
value772,0.0
value773,0.0
value774,0.0
value775,0.0
value141,0.0
